ma_cd,bat_dau,ket_thuc,tram_muon,tram_tra,ma_kh,loai_xe,quang_duong_km,danh_gia
CD00028,04/03/2025 06:16,04/03/2025 06:32,DN02,DN02,KH0545,XE ĐẠP ĐIỆN,3.8,Hài lòng
CD00029,04/03/2025 06:32,04/03/2025 06:50,DN01,DN02,,Xe đạp,3.0,Bình thường
CD00030,04/03/2025 06:56,04/03/2025 07:15,DN01,DN02,KH0303,xe đạp điện,4.8,Hài lòng
CD00031,04/03/2025 11:15,04/03/2025 11:37,HA01,HA02,,Xe đạp,5.3,Hài lòng
CD00032,04/03/2025 11:34,04/03/2025 11:45,DN04,DN01,,Xe đạp,312.5,Rất hài lòng
CD00033,04/03/2025 14:00,04/03/2025 14:37,DN02,DN02,KH0495,Xe máy điện,11.8,Hài lòng
CD00034,04/03/2025 15:35,04/03/2025 15:44,DN03,DN01,KH0016,Xe đạp điện,2.6,Hài lòng
CD00035,04/03/2025 15:39,04/03/2025 16:52,HA01,HA02,,Xe đạp điện,15.9,
CD00036,04/03/2025 17:00,04/03/2025 17:01,HA02,HA02,KH0493,Xe đạp điện  ,0.0,Bình thường
CD00037,04/03/2025 19:15,04/03/2025 19:46,HA02,HA01,KH0382,Xe đạp điện,10.4,Hài lòng
CD00038,04/03/2025 19:20,04/03/2025 19:32,DN03,DN02,KH0057,Xe đạp,2.8,Bình thường
CD00038,04/03/2025 19:20,04/03/2025 19:32,DN03,DN02,KH0057,Xe đạp,2.8,Bình thường
CD00039,05/03/2025 06:18,05/03/2025 06:28,DN07,DN03,,Xe đạp,1.3,Rất hài lòng
CD00040,05/03/2025 07:37,05/03/2025 07:49,DN02,DN01,KH0199,Xe đạp,2.1,Bình thường
CD00041,05/03/2025 07:49,05/03/2025 07:59,HA01,HA01,,Xe đạp,2.3,Hài lòng
CD00042,05/03/2025 08:55,05/03/2025 09:08,DN02,DN01,KH0204,Xe đạp điện,4.7,Rất hài lòng
CD00043,05/03/2025 10:04,05/03/2025 10:31,DN04,DN04,KH0239,Xe đạp điện,7.2,Hài lòng
CD00044,05/03/2025 16:58,05/03/2025 17:16,DN01,DN01,KH0530,Xe đạp,4.5,Hài lòng
CD00045,05/03/2025 17:08,05/03/2025 17:43,DN01,DN03,KH0217,Xe đạp,4.7,Hài lòng
CD00046,05/03/2025 18:11,05/03/2025 18:21,HA02,HA01,KH0344,Xe đạp,1.7,Hài lòng
CD00047,05/03/2025 20:42,05/03/2025 20:50,DN02,DN01,,xe đạp,1.4,Hài lòng
CD00048,06/03/2025 05:22,06/03/2025 05:59,HA01,HA01,KH0345,Xe đạp,7.4,Rất hài lòng
CD00049,06/03/2025 05:50,06/03/2025 06:05,DN04,DN01,KH0087,Xe đạp,2.6,Hài lòng
CD00050,06/03/2025 06:30,06/03/2025 06:49,HA01,HA01,,Xe đạp,2.3,Hài lòng
CD00051,06/03/2025 06:50,06/03/2025 07:08,DN01,DN02,,Xe đạp điện,5.2,Hài lòng
CD00052,06/03/2025 08:07,06/03/2025 08:21,DN02,DN04,,Xe đạp,2.5,Hài lòng
CD00053,06/03/2025 12:11,06/03/2025 12:25,DN04,DN03,KH0424,Xe đạp,3.1,Bình thường
CD00054,06/03/2025 14:44,06/03/2025 14:49,DN01,DN01,,Xe đạp,1.2,Bình thường
CD00055,06/03/2025 16:25,06/03/2025 16:33,DN02,DN01,KH0018,Xe đạp,1.3,
CD00056,06/03/2025 16:50,06/03/2025 17:07,DN02,DN01,KH0487,xe đạp,2.7,Bình thường
CD00057,06/03/2025 17:41,06/03/2025 17:57,HA01,HA02,KH0332,Xe đạp,3.9,Rất hài lòng
CD00058,07/03/2025 06:13,07/03/2025 06:25,DN04,DN02,KH0358,Xe máy điện,5.7,Rất hài lòng
CD00059,07/03/2025 07:01,07/03/2025 07:47,DN01,DN01,,XE ĐẠP ĐIỆN,14.1,Hài lòng
CD00060,07/03/2025 07:24,07/03/2025 08:00,DN02,DN02,,Xe đạp điện,9.9,Rất hài lòng
CD00061,07/03/2025 08:07,07/03/2025 08:19,HA02,HA02,KH0314,Xe đạp,3.1,
CD00062,07/03/2025 10:46,07/03/2025 11:05,DN02,DN01,,Xe đạp,3.9,Bình thường
CD00063,07/03/2025 15:12,07/03/2025 15:33,HA02,HA02,KH0181,Xe đạp,4.3,Bình thường
CD00064,07/03/2025 15:58,07/03/2025 16:20,DN01,DN03,KH0039,xe đạp,4.6,Hài lòng
CD00065,07/03/2025 18:17,07/03/2025 18:48,DN02,DN04,KH0115,Xe máy điện,11.6,Rất hài lòng
CD00066,07/03/2025 20:47,07/03/2025 21:14,DN02,DN02,KH0438,Xe đạp,3.4,Bình thường
CD00067,07/03/2025 21:21,07/03/2025 21:36,DN01,DN04,KH0302,Xe đạp,3.2,Hài lòng
CD00068,08/03/2025 06:23,08/03/2025 06:49,HA01,HA01,KH0481,Xe đạp,6.4,Hài lòng
CD00069,08/03/2025 07:01,08/03/2025 07:18,HA01,HA02,KH0223,Xe đạp,3.7,Bình thường
CD00070,08/03/2025 07:02,08/03/2025 07:24,DN02,DN01,KH0481,Xe đạp điện,7.0,
CD00071,08/03/2025 07:05,08/03/2025 07:22,DN01,DN01,KH0277,xe đạp điện,3.6,Hài lòng
CD00072,08/03/2025 07:13,08/03/2025 08:22,HA01,HA02,,Xe đạp điện,21.1,Hài lòng
CD00073,08/03/2025 09:11,08/03/2025 09:26,DN02,DN01,,Xe đạp điện,2.1,Hài lòng
CD00074,08/03/2025 15:06,08/03/2025 15:24,DN04,DN01,KH0189,Xe đạp điện,4.6,Bình thường
CD00075,08/03/2025 15:26,08/03/2025 16:09,HA02,HA02,KH0474,Xe máy điện,17.5,Rất hài lòng
CD00076,08/03/2025 16:39,08/03/2025 17:15,DN04,DN04,, Xe máy điện,10.5,
CD00077,08/03/2025 17:16,08/03/2025 17:48,DN01,DN04,KH0420,Xe đạp điện,7.3,
CD00078,08/03/2025 17:35,08/03/2025 17:45,DN01,DN03,KH0199,Xe dap,1.8,Bình thường
CD00079,08/03/2025 20:01,08/03/2025 20:19,DN03,DN01,KH0202,Xe đạp điện,4.5,Bình thường
CD00080,08/03/2025 20:14,08/03/2025 20:52,HA02,HA01,KH0216,Xe đạp điện,7.5,Hài lòng
CD00081,08/03/2025 21:39,08/03/2025 22:06,DN01,DN01,KH0405,Xe dap dien,7.1,Bình thường
CD00082,09/03/2025 06:05,09/03/2025 07:02,DN01,DN04,KH0454, Xe máy điện,23.7,Hài lòng
CD00083,09/03/2025 07:06,09/03/2025 07:15,DN03,DN02,,Xe đạp điện,2.4,
CD00084,09/03/2025 13:06,09/03/2025 13:19,DN01,DN04,,xe đạp điện,4.0,Bình thường
CD00085,09/03/2025 18:17,09/03/2025 18:36,DN01,DN02,KH0071,Xe đạp,4.8,
CD00086,09/03/2025 18:18,09/03/2025 18:51,HA01,HA01,KH0221,Xe đạp điện,9.0,Hài lòng
CD00087,09/03/2025 18:22,09/03/2025 18:30,DN01,DN03,,Xe đạp,0.9,Bình thường
CD00088,09/03/2025 19:00,09/03/2025 19:17,HA02,HA02,,Xe đạp,2.2,
CD00089,10/03/2025 12:04,10/03/2025 12:17,DN01,DN02,KH0288,Xe đạp,2.1,Bình thường
CD00090,10/03/2025 13:47,10/03/2025 14:18,DN02,DN03,,Xe đạp,4.7,Rất hài lòng
CD00091,10/03/2025 14:57,10/03/2025 15:19,HA01,HA01,KH0081,Xe may dien,8.5,Rất hài lòng
CD00092,10/03/2025 15:00,10/03/2025 15:30,HA02,HA02,,XE ĐẠP ĐIỆN,7.6,Bình thường
CD00093,10/03/2025 16:33,10/03/2025 17:01,DN03,DN02,,Xe đạp,5.7,Rất hài lòng
CD00094,10/03/2025 16:41,10/03/2025 16:59,HA01,HA01,KH0039,Xe máy điện,7.2,Rất hài lòng
CD00095,10/03/2025 16:55,10/03/2025 16:35,DN03,DN03,KH0527,Xe đạp,5.1,Hài lòng
CD00096,10/03/2025 17:01,10/03/2025 17:43,HA01,HA01,KH0407,Xe đạp,5.9,Hài lòng
CD00097,10/03/2025 17:37,10/03/2025 19:10,DN03,DN01,KH0180,Xe máy điện,34.1,Bình thường
CD00098,10/03/2025 22:58,10/03/2025 23:25,DN03,DN01,,Xe đạp,4.5,
CD00099,11/03/2025 05:54,11/03/2025 06:11,DN01,DN01,KH0157,Xe đạp,2.6,Hài lòng
CD00100,11/03/2025 10:23,11/03/2025 10:37,DN03,DN01,KH0405,Xe đạp điện,3.2,Hài lòng
CD00101,11/03/2025 13:37,11/03/2025 13:47,DN02,DN03,KH0301,Xe đạp điện,2.4,Hài lòng
CD00102,12/03/2025 05:31,12/03/2025 05:42,HA02,HA01,KH0435,Xe đạp,1.6,Hài lòng
CD00103,12/03/2025 07:59,12/03/2025 08:23,HA01,HA01,KH0060,Xe đạp điện,6.6,Rất hài lòng
CD00104,12/03/2025 13:52,12/03/2025 14:24,DN03,DN01,KH0122,XE ĐẠP ĐIỆN,9.6,Hài lòng
CD00105,12/03/2025 14:09,12/03/2025 14:47,DN02,DN03,KH0418,Xe đạp điện,11.3,Hài lòng
CD00106,12/03/2025 17:52,12/03/2025 19:06,HA01,HA01,KH0408,Xe đạp điện,18.5,
CD00107,12/03/2025 18:44,12/03/2025 18:58,HA02,HA02,KH0399,Xe đạp điện,3.3,Hài lòng
CD00108,12/03/2025 18:51,12/03/2025 19:27,DN03,DN01,KH0158,Xe đạp điện,7.9,Bình thường
CD00109,12/03/2025 18:54,12/03/2025 19:16,DN04,DN01,KH0124,Xe đạp điện,6.5,Hài lòng
CD00110,12/03/2025 19:13,12/03/2025 20:36,HA01,HA02,,Xe máy điện,32.5,Hài lòng
CD00111,13/03/2025 07:15,,DN04,DN01,,Xe đạp điện,3.5,Hài lòng
CD00112,13/03/2025 07:16,13/03/2025 07:40,DN04,DN02,,Xe máy điện,8.7,Rất hài lòng
CD00113,13/03/2025 07:32,13/03/2025 08:33,HA01,HA01,KH0137,Xe máy điện,22.9,Bình thường
CD00114,13/03/2025 09:47,13/03/2025 10:04,HA01,HA02,KH0411,Xe đạp,3.7,Bình thường
CD00115,13/03/2025 10:32,13/03/2025 11:14,DN01,DN01,KH0223,Xe đạp điện,13.3,
CD00116,13/03/2025 11:48,13/03/2025 12:00,DN01,DN02,KH0258,Xe đạp điện,4.4,Không hài lòng
CD00117,13/03/2025 12:17,13/03/2025 12:36,DN02,DN02,KH0250,Xe đạp điện,5.2,Hài lòng
CD00118,13/03/2025 14:37,13/03/2025 14:54,DN01,DN02,,Xe đạp,3.8,Hài lòng
CD00119,13/03/2025 15:11,13/03/2025 15:39,DN02,DN04,,xe đạp điện,6.9,Hài lòng
CD00120,13/03/2025 15:29,13/03/2025 16:20,HA02,HA02,,XE ĐẠP ĐIỆN,14.9,Hài lòng
CD00121,13/03/2025 15:36,13/03/2025 15:49,DN03,DN04,KH0446,Xe đạp,3.3,Hài lòng
CD00122,13/03/2025 16:29,13/03/2025 16:42,HA02,HA02,KH0077,Xe đạp,2.7,Hài lòng
CD00123,13/03/2025 17:29,,HA02,HA01,KH0294,Xe đạp,2.5,Bình thường
CD00124,13/03/2025 18:54,13/03/2025 19:30,DN03,DN01,,Xe dap dien,10.3,
CD00125,13/03/2025 19:41,13/03/2025 19:56,HA02,HA02,KH0339,Xe đạp điện,4.2,Hài lòng
CD00126,13/03/2025 20:57,13/03/2025 21:18,HA01,HA02,KH0137,Xe đạp điện,6.1,Hài lòng
CD00127,14/03/2025 07:05,14/03/2025 07:33,DN02,DN01,KH0186,Xe máy điện,11.1,Rất hài lòng
CD00128,14/03/2025 07:05,14/03/2025 07:33,DN03,DN03,KH0436,Xe đạp,6.4,Hài lòng
CD00129,14/03/2025 13:22,14/03/2025 14:31,HA01,HA01,,Xe đạp điện,21.3,Hài lòng
CD00130,14/03/2025 15:14,14/03/2025 15:29,DN01,DN02,KH0145,Xe đạp điện,3.2,Bình thường
CD00131,14/03/2025 15:34,14/03/2025 16:11,DN01,DN01,,Xe đạp,7.5,Bình thường
CD00132,14/03/2025 16:44,14/03/2025 17:14,DN03,DN01,,Xe đạp điện,7.2,
CD00133,14/03/2025 16:59,14/03/2025 18:14,HA01,HA02,KH0441,Xe máy điện,35.2,Bình thường
CD00134,14/03/2025 17:01,14/03/2025 17:40,HA01,HA01,,Xe máy điện,13.7,Rất hài lòng
CD00135,14/03/2025 17:21,14/03/2025 18:12,DN02,DN01,KH0223,Xe máy điện,17.3,Hài lòng
CD00136,14/03/2025 17:24,14/03/2025 18:03,HA02,HA01,KH0020,Xe đạp điện,10.0,
CD00137,14/03/2025 17:48,14/03/2025 17:59,DN01,DN01,KH0015,Xe đạp,2.0,Rất hài lòng
CD00138,14/03/2025 18:10,14/03/2025 18:38,DN02,DN04,KH0328,Xe đạp điện  ,6.3,Bình thường
CD00139,15/03/2025 06:09,15/03/2025 06:26,DN04,DN02,KH0265,Xe máy điện,5.3,Rất hài lòng
CD00140,15/03/2025 06:21,15/03/2025 06:58,DN01,DN03,KH0332,Xe máy điện,16.3,Hài lòng
CD00141,15/03/2025 06:24,15/03/2025 06:37,DN03,DN01,,Xe đạp điện,2.8,Hài lòng
CD00142,15/03/2025 06:38,15/03/2025 06:57,DN04,DN01,KH0004,Xe đạp điện,4.8,
CD00143,15/03/2025 06:52,15/03/2025 07:04,HA01,HA01,, Xe đạp,1.3,Rất hài lòng
CD00144,15/03/2025 07:00,15/03/2025 07:11,DN04,DN01,KH0126,Xe dap dien,2.9,Bình thường
CD00145,15/03/2025 07:30,15/03/2025 07:54,DN01,DN01,KH0030,Xe đạp điện,7.1,Rất hài lòng
CD00146,15/03/2025 07:55,15/03/2025 08:15,HA02,HA01,,Xe đạp,4.1,Hài lòng
CD00147,15/03/2025 09:17,15/03/2025 09:46,DN02,DN01,KH0432,Xe dap,4.6,Hài lòng
CD00148,15/03/2025 09:20,15/03/2025 09:33,DN03,DN01,KH0204,Xe đạp điện,2.8,
CD00149,15/03/2025 10:39,15/03/2025 11:04,DN01,DN03,KH0434,Xe đạp điện,7.8,Rất hài lòng
CD00150,15/03/2025 14:25,15/03/2025 15:49,HA01,HA01,KH0023,Xe máy điện,40.0,Hài lòng
CD00151,15/03/2025 17:38,15/03/2025 18:05,HA02,HA01,KH0098,Xe đạp,4.4,Rất hài lòng
CD00152,15/03/2025 17:54,15/03/2025 18:06,DN03,DN04,KH0101,Xe đạp,2.5,
CD00153,15/03/2025 18:49,15/03/2025 19:10,DN02,DN02,KH0098,Xe đạp,4.5,Hài lòng
CD00154,15/03/2025 19:56,15/03/2025 20:24,HA01,HA02,KH0198,Xe đạp,5.0,Hài lòng
CD00155,15/03/2025 20:30,15/03/2025 21:07,HA01,HA01,KH0418,Xe đạp điện,11.2,Rất hài lòng
CD00156,16/03/2025 07:10,16/03/2025 07:19,DN01,DN04,KH0376,Xe đạp,2.0,Bình thường
CD00157,16/03/2025 08:29,16/03/2025 08:44,HA01,HA01,KH0170,Xe đạp điện,5.0,Hài lòng
CD00158,16/03/2025 09:41,16/03/2025 10:25,HA01,HA02,KH0461,XE MÁY ĐIỆN,19.1,Hài lòng
CD00159,16/03/2025 13:26,16/03/2025 13:43,DN02,DN04,,XE MÁY ĐIỆN,6.2,Hài lòng
CD00160,16/03/2025 15:01,16/03/2025 15:13,DN04,DN04,,Xe dap,1.4,Hài lòng
CD00161,16/03/2025 16:03,16/03/2025 16:53,DN02,DN01,KH0383,XE MÁY ĐIỆN,25.0,Bình thường
CD00162,16/03/2025 16:26,16/03/2025 16:45,HA02,HA01,KH0356,Xe đạp,3.8,Bình thường
CD00163,16/03/2025 17:13,16/03/2025 17:40,HA01,HA02,KH0076,Xe dap,4.8,Bình thường
CD00164,16/03/2025 17:30,16/03/2025 17:44,DN04,DN02,KH0232,Xe đạp điện,3.4,
CD00165,16/03/2025 18:45,16/03/2025 19:09,HA01,HA01,KH0385,Xe đạp điện,,Bình thường
CD00166,16/03/2025 19:08,16/03/2025 19:32,DN04,DN01,KH0229,Xe đạp điện,5.1,Rất hài lòng
CD00167,16/03/2025 21:02,16/03/2025 21:22,HA01,HA01,KH0157,Xe đạp điện,,Hài lòng
CD00168,17/03/2025 08:12,17/03/2025 08:52,DN03,DN04,KH0529,Xe máy điện,14.4,
CD00169,17/03/2025 08:48,17/03/2025 09:11,DN03,DN01,,Xe đạp,3.3,Hài lòng
CD00170,17/03/2025 08:50,17/03/2025 09:08,DN02,DN02,KH0413,Xe đạp,3.9,Không hài lòng
CD00171,17/03/2025 11:14,17/03/2025 11:29,HA01,HA02,,Xe đạp,1.9,Bình thường
CD00172,17/03/2025 17:51,17/03/2025 18:09,DN02,DN03,KH0003,Xe máy điện,7.8,Hài lòng
CD00173,17/03/2025 17:51,17/03/2025 18:17,DN02,DN02,KH0440,XE ĐẠP,4.9,Không hài lòng
CD00174,17/03/2025 18:25,17/03/2025 18:42,HA02,HA01,,Xe đạp,3.2,
CD00175,18/03/2025 06:25,18/03/2025 07:26,HA01,HA02,,Xe đạp,12.5,Hài lòng
CD00176,18/03/2025 06:47,18/03/2025 07:06,DN02,DN02,KH0336,Xe đạp,3.1,Không hài lòng
CD00177,18/03/2025 06:57,18/03/2025 07:17,DN01,DN04,,Xe đạp,2.9,
CD00178,18/03/2025 06:57,18/03/2025 07:12,DN03,DN01,KH0212,Xe đạp điện,3.6,
CD00179,18/03/2025 07:28,18/03/2025 07:49,DN02,DN01,,xe đạp điện,7.0,Hài lòng
CD00180,18/03/2025 07:56,18/03/2025 08:07,DN03,DN01,,Xe đạp,1.7,Không hài lòng
CD00181,18/03/2025 12:30,18/03/2025 12:56,HA02,HA02,KH0367,Xe đạp,5.8,
CD00182,18/03/2025 14:21,18/03/2025 14:54,HA02,HA01,,Xe đạp điện  ,9.8,Hài lòng
CD00183,18/03/2025 14:36,18/03/2025 15:12,HA01,HA02,,Xe đạp,5.9,Hài lòng
CD00184,18/03/2025 15:04,18/03/2025 15:26,HA01,HA02,,Xe đạp,4.9,
CD00185,18/03/2025 17:21,18/03/2025 17:36,DN04,DN04,KH0222,Xe đạp,3.4,
CD00186,18/03/2025 17:40,18/03/2025 18:16,DN01,DN04,,Xe đạp,999.9,Bình thường
CD00187,18/03/2025 18:39,18/03/2025 18:52,DN03,DN03,,XE ĐẠP,2.4,
CD00188,19/03/2025 07:29,19/03/2025 07:36,HA01,HA01,,Xe dap,1.3,Hài lòng
CD00189,19/03/2025 07:55,19/03/2025 08:14,HA01,HA02,KH0381,Xe đạp điện,6.5,
CD00190,19/03/2025 12:33,19/03/2025 12:53,DN02,DN01,,Xe đạp điện,,Hài lòng
CD00191,19/03/2025 13:38,19/03/2025 13:48,DN02,DN02,KH0041,Xe máy điện,4.0,Rất hài lòng
CD00192,19/03/2025 15:13,19/03/2025 15:40,DN02,DN03,,Xe đạp điện,8.1,
CD00193,19/03/2025 18:30,19/03/2025 18:43,HA01,HA02,KH0195, Xe đạp,2.7,Bình thường
CD00194,19/03/2025 18:46,19/03/2025 19:16,DN02,DN04,,XE MÁY ĐIỆN,,Rất hài lòng
CD00195,19/03/2025 19:21,19/03/2025 19:37,DN02,DN01,KH0095,Xe đạp,2.6,Rất hài lòng
CD00196,19/03/2025 19:28,19/03/2025 19:38,HA02,HA01,KH0134,Xe đạp điện,2.1,Bình thường
CD00197,19/03/2025 21:22,19/03/2025 21:38,HA01,HA02,,xe đạp,3.4,Rất hài lòng
CD00198,20/03/2025 08:20,20/03/2025 09:17,HA01,HA01,KH0284,Xe đạp,10.0,Rất hài lòng
CD00199,20/03/2025 08:36,20/03/2025 08:46,HA02,HA01,KH0083,Xe đạp,2.3,Hài lòng
CD00200,20/03/2025 14:15,20/03/2025 14:49,DN02,DN02,,Xe dap dien,8.1,Hài lòng
CD00201,20/03/2025 15:31,20/03/2025 15:50,DN03,DN01,KH0153,Xe đạp,4.0,Rất hài lòng
CD00202,20/03/2025 16:56,20/03/2025 17:17,HA02,HA01,KH0449,XE ĐẠP ĐIỆN,5.8,Bình thường
CD00203,20/03/2025 17:23,20/03/2025 17:45,DN01,DN04,KH0269,Xe đạp điện,6.5,Bình thường
CD00204,21/03/2025 05:45,21/03/2025 06:11,DN03,DN04,,Xe đạp,6.0,Rất hài lòng
CD00205,21/03/2025 06:15,21/03/2025 06:39,DN02,DN01,,Xe đạp điện,7.1,Hài lòng
CD00205,21/03/2025 06:15,21/03/2025 06:39,DN02,DN01,,Xe đạp điện,7.1,Hài lòng
CD00206,21/03/2025 07:03,21/03/2025 07:21,DN01,DN03,KH0434,Xe đạp,3.4,Hài lòng
CD00207,21/03/2025 08:18,21/03/2025 08:58,DN01,DN01,,Xe may dien,17.6,
CD00208,21/03/2025 08:58,21/03/2025 09:21,DN03,DN01,,xe đạp,4.3,
CD00209,21/03/2025 09:53,21/03/2025 10:23,HA02,HA02,KH0256,Xe đạp,4.5,Hài lòng
CD00210,21/03/2025 10:16,21/03/2025 11:13,HA02,HA01,,Xe đạp điện,12.1,
CD00211,21/03/2025 12:04,21/03/2025 12:18,DN04,DN02,KH0426,Xe đạp điện,5.3,Rất hài lòng
CD00212,21/03/2025 16:47,21/03/2025 17:11,DN03,DN01,KH0424,Xe máy điện,7.0,Hài lòng
CD00213,21/03/2025 17:27,21/03/2025 18:00,HA02,HA02,KH0417,Xe đạp,5.6,Rất hài lòng
CD00214,21/03/2025 18:52,21/03/2025 18:58,DN02,DN01,KH0060,Xe đạp điện,1.5,Hài lòng
CD00215,21/03/2025 19:05,21/03/2025 19:20,DN01,DN03,KH0136,Xe đạp,3.1,Bình thường
CD00216,21/03/2025 20:50,21/03/2025 21:00,DN02,DN04,,Xe đạp,1.6,Hài lòng
CD00217,22/03/2025 09:41,22/03/2025 10:09,HA01,HA01,KH0130,XE ĐẠP,5.2,
CD00218,22/03/2025 09:59,22/03/2025 10:24,HA02,HA02,KH0074,Xe đạp,5.4,Bình thường
CD00219,22/03/2025 19:21,22/03/2025 19:42,HA01,HA02,KH0455,Xe đạp điện,5.2,Rất hài lòng
CD00220,23/03/2025 12:39,23/03/2025 12:54,DN01,DN03,KH0318,Xe đạp,2.8,Bình thường
CD00221,23/03/2025 12:47,23/03/2025 13:12,DN04,DN04,,Xe đạp điện,8.0,Rất hài lòng
CD00222,23/03/2025 16:10,23/03/2025 16:51,DN03,DN02,,Xe đạp điện,10.1,Hài lòng
CD00223,23/03/2025 16:20,23/03/2025 16:45,DN03,DN01,,Xe đạp điện,6.0,Bình thường
CD00224,23/03/2025 17:25,23/03/2025 18:32,DN02,DN02,KH0452,Xe máy điện,24.4,
CD00225,23/03/2025 17:35,23/03/2025 17:56,DN01,DN03,,Xe đạp điện,6.5,
CD00226,23/03/2025 18:41,23/03/2025 18:42,DN01,DN01,KH0102,Xe đạp,0.0,Hài lòng
CD00227,23/03/2025 19:28,23/03/2025 19:40,DN02,DN02,KH0097,Xe dap,2.2,Bình thường
CD00228,23/03/2025 20:11,23/03/2025 20:42,HA02,HA02,KH0042,Xe đạp,7.4,Hài lòng
CD00229,23/03/2025 21:39,23/03/2025 21:48,DN01,DN01,,Xe đạp điện  ,2.5,Hài lòng
CD00230,24/03/2025 06:02,24/03/2025 06:14,DN01,DN04,KH0411,XE ĐẠP,2.5,Hài lòng
CD00231,24/03/2025 09:27,24/03/2025 09:55,DN01,DN02,,xe đạp,4.2,Hài lòng
CD00232,24/03/2025 12:30,24/03/2025 12:48,DN02,DN02,KH0191,Xe đạp điện,4.9,Hài lòng
CD00233,24/03/2025 13:44,24/03/2025 14:30,HA02,HA02,,Xe đạp điện,9.1,Hài lòng
CD00234,24/03/2025 14:34,24/03/2025 14:53,DN04,DN03,KH0477,Xe đạp,4.2,Hài lòng
CD00235,24/03/2025 14:53,24/03/2025 15:18,DN01,DN03,, Xe đạp,4.4,
CD00236,24/03/2025 15:29,24/03/2025 15:43,DN02,DN03,,Xe đạp,2.8,Hài lòng
CD00237,24/03/2025 17:47,24/03/2025 18:09,HA01,HA01,KH0469,Xe đạp điện,7.2,
CD00238,24/03/2025 19:02,24/03/2025 19:34,DN02,DN02,KH0457,Xe đạp,5.4,
CD00239,24/03/2025 19:22,,DN02,DN02,KH0121,Xe đạp,2.6,Hài lòng
CD00240,24/03/2025 20:55,24/03/2025 21:16,DN03,DN02,,Xe đạp,3.3,Hài lòng
CD00241,24/03/2025 21:14,24/03/2025 23:08,HA01,HA02,,Xe máy điện,31.5,
CD00242,25/03/2025 06:07,25/03/2025 06:36,DN03,DN01,,XE ĐẠP,5.0,Rất hài lòng
CD00243,25/03/2025 07:07,25/03/2025 07:27,DN03,DN03,,Xe đạp điện,6.5,Hài lòng
