ma_gd,thoi_gian,ma_cn,ma_kh,ma_sp,so_luong,kenh,thoi_gian_cho,danh_gia
GD00042,04/01/2025 13:37,CN02,KH0298,SP01,2,Mang đi,3.5,Tốt
GD00043,04/01/2025 13:53,CN01,,SP07,2,Tại quán,5.4,Tốt
GD00044,04/01/2025 14:41,CN02,KH0035,SP04,6,Giao hàng,27.7,Tốt
GD00045,04/01/2025 14:54,CN03,KH0446,SP04,3,Giao hàng,25.1,Bình thường
GD00046,04/01/2025 15:42,CN01,,SP02,3,Tại quán,4.1,Rất tốt
GD00047,04/01/2025 15:44,CN04,KH0188,SP06,1,Mang đi,4.5,
GD00048,04/01/2025 16:05,CN01,KH0255,SP15,2,Mang đi,4.4,Rất tốt
GD00049,04/01/2025 16:40,CN01,KH0155,SP09,1,Mang đi,6.7,Bình thường
GD00050,04/01/2025 17:31,CN01,KH0161,SP01,1,Giao hang,23.9,Bình thường
GD00051,04/01/2025 17:44,CN04,KH0235,SP02,2,mang đi,2.0,Bình thường
GD00052,04/01/2025 18:26,CN03,KH0056,SP09,2,Mang đi,8.9,
GD00053,04/01/2025 19:59,CN01,KH0195,SP01,4,Tại quán,3.1,
GD00054,04/01/2025 21:08,CN02,KH0157,SP05,3,Tại quán,13.8,Rất tốt
GD00055,04/01/2025 21:50,CN03,KH0125,SP06,1,Giao hàng,37.6,
GD00056,05/01/2025 09:24,CN04,,SP13,1,Mang đi,5.6,Rất tốt
GD00057,05/01/2025 09:38,CN01,KH0143,SP08,2, Giao hàng,39.3,Tệ
GD00058,05/01/2025 10:35,CN03,KH0204,SP04,1,Mang đi,2.7,
GD00059,05/01/2025 10:36,CN02,KH0203,SP01,3,Tại quán,6.2,Tốt
GD00060,05/01/2025 11:14,CN02,KH0147,SP15,1,Mang đi,2.6,Bình thường
GD00061,05/01/2025 11:14,CN03,KH0057,SP08,3,Tai quan,4.5,Tốt
GD00062,05/01/2025 11:29,CN04,KH0313,SP11,2,Tại quán,4.4,Tốt
GD00063,05/01/2025 12:24,CN03,,SP04,1,Mang đi,1.9,Rất tốt
GD00064,05/01/2025 12:26,CN02,KH0313,SP02,3,mang đi,4.8,Rất tốt
GD00065,05/01/2025 12:34,CN01,KH0174,SP04,1,MANG ĐI,1.5,
GD00066,05/01/2025 14:25,CN01,,SP03,1,Tại quán,4.8,Rất tốt
GD00067,05/01/2025 14:36,CN03,,SP03,1,Mang đi,6.7,Tốt
GD00068,05/01/2025 15:29,CN02,,SP12,2,Tại quán,6.4,Tốt
GD00069,05/01/2025 17:32,CN04,,SP05,1,TẠI QUÁN,4.3,Tốt
GD00070,05/01/2025 17:37,CN03,,SP04,,Mang đi,4.0,Bình thường
GD00070,05/01/2025 17:37,CN03,,SP04,,Mang đi,4.0,Bình thường
GD00071,05/01/2025 18:07,CN01,KH0173,SP07,1,Mang đi  ,2.1,Bình thường
GD00072,05/01/2025 18:43,CN04,KH0369,SP16,2,mang đi,4.5,Rất tốt
GD00073,05/01/2025 18:44,CN02,KH0296,SP02,1,Mang di,4.9,Rất tốt
GD00074,05/01/2025 20:00,CN02,KH0191,SP14,2,Mang đi,3.5,Rất tốt
GD00075,06/01/2025 07:00,CN01,,SP08,1,TẠI QUÁN,6.3,
GD00076,06/01/2025 08:41,CN02,KH0242,SP06,3,Tại quán,4.1,
GD00077,06/01/2025 08:43,CN01,,SP05,2,Mang đi,2.5,Tốt
GD00078,06/01/2025 09:02,CN04,,SP03,1,Tai quan,2.1,Bình thường
GD00079,06/01/2025 09:47,CN01,KH0322,SP14,1,Giao hàng,24.7,Bình thường
GD00080,06/01/2025 10:32,CN02,,SP11,2,Mang đi,3.3,
GD00081,06/01/2025 13:25,CN02,,SP01,2,Mang đi,2.6,Tốt
GD00082,06/01/2025 13:26,CN01,KH0291,SP03,2,Mang đi,3.3,Tốt
GD00083,06/01/2025 15:13,CN02,KH0358,SP05,2,Tại quán,3.8,
GD00084,06/01/2025 15:53,CN04,KH0350,SP06,1,Tại quán,7.1,Bình thường
GD00085,06/01/2025 18:04,CN03,KH0102,SP01,1,Tại quán,3.2,Rất tốt
GD00086,06/01/2025 18:23,CN02,KH0195,SP15,1,Tại quán,3.5,Tốt
GD00087,06/01/2025 18:44,CN01,,SP10,,Mang đi,3.8,Tốt
GD00088,06/01/2025 19:14,CN01,,SP05,1,tại quán,4.1,Tốt
GD00089,06/01/2025 20:23,CN01,,SP04,2,Tại quán,4.1,
GD00090,06/01/2025 21:35,CN01,KH0189,SP14,2,Tại quán,5.2,Tốt
GD00091,07/01/2025 08:00,CN02,KH0048,SP16,2,Mang đi,3.1,Rất tốt
GD00092,07/01/2025 10:58,CN03,KH0270,SP13,2,mang đi,7.1,
GD00093,07/01/2025 10:59,CN04,,SP01,2,Tại quán,5.5,Tốt
GD00094,07/01/2025 12:51,CN02,KH0256,SP07,1,Tại quán,8.1,Tốt
GD00095,07/01/2025 14:48,CN02,,SP04,1,Mang đi,5.9,Rất tốt
GD00096,07/01/2025 18:05,CN01,KH0027,SP04,3,Mang đi,3.4,Rất tốt
GD00097,07/01/2025 18:17,CN04,KH0411,SP09,1,Mang đi,5.5,Tốt
GD00098,07/01/2025 19:37,CN02,KH0237,SP04,1,Mang đi,2.1,Rất tốt
GD00099,08/01/2025 07:00,CN01,KH0157,SP02,2,Tại quán,16.1,Rất tốt
GD00100,08/01/2025 09:27,CN01,KH0107,SP02,1,Tại quán,3.9,
GD00101,08/01/2025 11:49,CN03,,SP02,1,MANG ĐI,2.6,Rất tốt
GD00102,08/01/2025 12:42,CN02,,SP07,1,TẠI QUÁN,6.2,Bình thường
GD00103,08/01/2025 13:00,CN01,KH0246,SP06,1,Mang đi,4.4,Rất tốt
GD00104,08/01/2025 13:23,CN03,,SP14,2,Tại quán,4.7,Bình thường
GD00105,08/01/2025 13:48,CN01,KH0396,SP16,1,Tại quán,2.7,Rất tốt
GD00106,08/01/2025 14:59,CN04,KH0133,SP04,1,Mang đi,2.3,Bình thường
GD00107,08/01/2025 15:49,CN01,,SP03,1,tại quán,6.2,Bình thường
GD00108,08/01/2025 18:14,CN02,KH0384,SP11,2,Mang đi,5.4,
GD00109,08/01/2025 18:58,CN04,,SP14,1,Mang đi,2.4,
GD00110,08/01/2025 19:35,CN01,,SP10,2, Giao hàng,21.8,Bình thường
GD00111,08/01/2025 20:21,CN04,KH0168,SP14,2,Mang đi,1.8,
GD00112,08/01/2025 21:40,CN04,KH0432,SP06,1,Mang đi,2.1,Rất tốt
GD00113,09/01/2025 08:08,CN02,KH0076,SP16,5,GIAO HÀNG,26.2,Bình thường
GD00114,09/01/2025 08:36,CN02,KH0107,SP02,3,Tai quan,5.0,Bình thường
GD00115,09/01/2025 08:51,CN01,,SP06,1,Tại quán,11.2,Tốt
GD00116,09/01/2025 08:58,CN01,,SP03,3,giao hàng,13.4,Bình thường
GD00117,09/01/2025 09:13,CN02,,SP02,1,Tại quán,4.9,Tốt
GD00118,09/01/2025 10:05,CN02,,SP11,1,Tại quán,4.2,Tốt
GD00119,09/01/2025 11:06,CN01,,SP10,1,Mang đi,9.2,Rất tốt
GD00120,09/01/2025 12:09,CN04,KH0035,SP10,,Tại quán,4.0,Rất tốt
GD00121,09/01/2025 12:21,CN03,KH0074,SP08,2,Tại quán,4.7,Rất tốt
GD00122,09/01/2025 13:11,CN01,KH0209,SP13,1,Tại quán,7.3,
GD00123,09/01/2025 14:11,CN03,,SP01,1,Mang đi,4.2,Rất tốt
GD00124,09/01/2025 14:27,CN01,,SP01,1,Tại quán,4.2,
GD00125,09/01/2025 15:30,CN01,KH0174,SP02,1,Mang đi,6.2,Bình thường
GD00126,09/01/2025 17:51,CN03,KH0058,SP12,3,Tại quán,6.3,Rất tốt
GD00127,09/01/2025 19:21,CN03,KH0041,SP11,2,Tại quán,4.4,Bình thường
GD00128,10/01/2025 07:32,CN02,,SP13,1,Mang đi,4.2,Rất tốt
GD00129,10/01/2025 08:25,CN03,KH0369,SP06,1,Mang di,8.6,Rất tốt
GD00130,10/01/2025 09:04,CN04,KH0168,SP06,3,Tại quán,3.9,Tốt
GD00131,10/01/2025 12:29,CN03,KH0245,SP06,1,Tại quán,7.8,Rất tốt
GD00132,10/01/2025 14:43,CN04,KH0250,SP13,2,Mang đi,3.5,Tốt
GD00133,10/01/2025 15:38,CN01,KH0325,SP01,1,Mang đi,3.1,
GD00134,10/01/2025 17:56,CN03,KH0101,SP03,3,Mang đi,3.9,Rất tốt
GD00135,10/01/2025 18:45,CN02,,SP01,1,Mang đi,2.7,
GD00136,10/01/2025 18:45,CN02,KH0335,SP10,1,Mang đi,7.5,
GD00137,10/01/2025 19:43,CN03,KH0280,SP02,1,Mang đi,3.7,Rất tốt
GD00138,11/01/2025 07:26,CN04,KH0256,SP02,3,Tại quán,1.3,
GD00139,11/01/2025 07:54,CN01,KH0220,SP03,4,giao hàng,19.6,Bình thường
GD00140,11/01/2025 08:52,CN01,KH0282,SP03,1,Tại quán,5.3,
GD00141,11/01/2025 09:47,CN04,KH0312,SP11,2,Mang đi,3.5,Tốt
GD00142,11/01/2025 09:52,CN01,KH0315,SP13,2,Tại quán,1.9,Tệ
GD00143,11/01/2025 10:09,CN02,KH0421,SP07,2,Tại quán,8.4,
GD00144,11/01/2025 10:18,CN01,KH0368,SP16,1,Mang đi,6.9,Tốt
GD00145,11/01/2025 10:47,CN01,,SP07,1, Tại quán,4.8,Tốt
GD00146,11/01/2025 10:52,CN01,KH0322,SP07,1,Mang đi,5.1,Bình thường
GD00147,11/01/2025 12:20,CN01,KH0111,SP11,2,Giao hàng,46.1,Tệ
GD00148,11/01/2025 12:22,CN01,KH0018,SP09,1,Tai quan,3.0,Tốt
GD00149,11/01/2025 13:30,CN01,KH0276,SP10,3,Tại quán,5.6,Tốt
GD00150,11/01/2025 14:32,CN03,,SP12,2,Tại quán,8.2,Bình thường
GD00151,11/01/2025 14:44,CN02,KH0292,SP03,3,Giao hàng,27.6,Tốt
GD00152,11/01/2025 14:45,CN01,KH0316,SP11,1,Tại quán,7.0,Tệ
GD00153,11/01/2025 14:56,CN04,KH0195,SP07,2,Mang đi,6.4,
GD00154,11/01/2025 15:43,CN04,KH0210,SP08,5,Tại quán,2.5,Rất tốt
GD00155,11/01/2025 16:13,CN04,KH0065,SP04,2,Tại quán,3.7,Tốt
GD00156,11/01/2025 16:34,CN01,,SP02,1,Mang di,5.5,Bình thường
GD00157,11/01/2025 17:24,CN01,,SP12,1,mang đi,3.6,Tốt
GD00158,11/01/2025 18:17,CN03,KH0382,SP02,2,Mang đi,3.5,
GD00159,11/01/2025 18:30,CN03,KH0107,SP09,1,Mang đi  ,5.7,Tốt
GD00160,11/01/2025 18:42,CN03,KH0182,SP15,2,Tại quán,4.3,Tốt
GD00161,11/01/2025 19:51,CN02,KH0053,SP09,1,Mang đi,3.3,Rất tốt
GD00162,12/01/2025 07:19,CN04,KH0402,SP01,1,Mang đi,1.7,Tốt
GD00163,12/01/2025 08:34,CN03,,SP01,1,Giao hàng,21.9,Bình thường
GD00164,12/01/2025 08:35,CN03,KH0200,SP10,3,tại quán,6.7,Tệ
GD00165,12/01/2025 08:39,CN02,KH0019,SP04,3,Tại quán,7.6,Tốt
GD00166,12/01/2025 08:50,CN01,,SP12,1,Tại quán,-12.0,Tốt
GD00167,12/01/2025 08:56,CN03,,SP02,1,Mang đi,3.1,Tốt
GD00168,12/01/2025 09:41,CN01,KH0293,SP06,3,mang đi,4.6,Tốt
GD00169,12/01/2025 09:53,CN01,KH0166,SP10,1,Tại quán,2.0,
GD00170,12/01/2025 10:03,CN01,KH0060,SP01,2,Tại quán,3.1,Tốt
GD00171,12/01/2025 10:31,CN01,KH0216,SP01,1,Tại quán,4.4,Tốt
GD00172,12/01/2025 10:47,CN04,KH0225,SP07,1, Giao hàng,29.7,Tệ
GD00173,12/01/2025 12:56,CN04,,SP01,2,Tại quán,6.4,
GD00174,12/01/2025 13:07,CN01,KH0001,SP06,2,Giao hàng,14.5,Rất tốt
GD00175,12/01/2025 13:14,CN01,,SP06,2,GIAO HÀNG,31.9,Rất tốt
GD00176,12/01/2025 14:48,CN02,,SP11,2,tại quán,7.0,Tốt
GD00177,12/01/2025 15:46,CN01,KH0427,SP04,2,Tại quán,6.3,Bình thường
GD00178,12/01/2025 15:52,CN01,KH0319,SP02,3,Mang đi,2.2,Rất tốt
GD00179,12/01/2025 16:08,CN01,KH0399,SP16,2,Mang đi,5.0,Bình thường
GD00180,12/01/2025 17:13,CN01,KH0375,SP02,2,TẠI QUÁN,5.9,Tốt
GD00181,12/01/2025 19:03,CN01,,SP07,1,Tại quán,2.9,Tốt
GD00182,12/01/2025 20:04,CN04,KH0338,SP02,3,Tai quan,5.8,
GD00183,12/01/2025 20:40,CN01,KH0007,SP14,3,Mang đi,8.0,
GD00184,13/01/2025 09:39,CN01,KH0127,SP06,1,MANG ĐI,4.2,Bình thường
GD00185,13/01/2025 11:10,CN02,KH0180,SP06,3,Tại quán,3.4,
GD00186,13/01/2025 12:50,CN03,KH0183,SP07,3,Tai quan,5.2,Rất tốt
GD00187,13/01/2025 12:54,CN02,,SP15,3,Tại quán,6.5,Bình thường
GD00188,13/01/2025 13:00,CN02,KH0336,SP09,1,Tại quán,3.5,Tốt
GD00189,13/01/2025 13:19,CN01,KH0310,SP15,1,Mang đi,2.6,
GD00190,13/01/2025 14:40,CN01,KH0094,SP08,3,Mang đi,6.2,Tốt
GD00191,13/01/2025 15:40,CN03,KH0114,SP09,2,Tại quán,2.8,
GD00192,13/01/2025 16:05,CN03,,SP07,1,Mang đi,2.6,Tốt
GD00193,13/01/2025 18:22,CN01,,SP01,1,Mang đi,2.6,Rất tốt
GD00194,13/01/2025 18:35,CN04,,SP02,2,tại quán,5.9,Rất tốt
GD00195,13/01/2025 19:25,CN04,KH0200,SP09,2,Mang đi,5.7,
GD00196,13/01/2025 20:42,CN01,KH0041,SP01,2,Tại quán,3.7,Bình thường
GD00197,14/01/2025 07:14,CN02,KH0262,SP09,1,Tại quán,5.6,Rất tệ
GD00198,14/01/2025 08:13,CN04,KH0413,SP04,3,Tại quán,2.3,Rất tốt
GD00199,14/01/2025 10:52,CN02,,SP09,,Tại quán,4.1,Rất tốt
GD00200,14/01/2025 11:02,CN04,KH0124,SP12,2,Mang đi,4.5,Rất tốt
GD00201,14/01/2025 12:59,CN01,KH0007,SP10,4, Tại quán,5.3,Rất tốt
GD00202,14/01/2025 13:30,CN01,KH0131,SP03,2, Tại quán,8.2,Tốt
GD00203,14/01/2025 13:37,CN03,KH0228,SP02,4,Tai quan,4.4,Tốt
GD00204,14/01/2025 13:56,CN02,KH0251,SP07,1,Tai quan,4.2,Tốt
GD00205,14/01/2025 14:01,CN02,KH0272,SP14,2,Tại quán,5.7,Rất tốt
GD00206,14/01/2025 14:43,CN01,,SP06,1,Tại quán,4.0,Tốt
GD00207,14/01/2025 15:22,CN01,KH0246,SP11,40,Tai quan,3.1,Rất tốt
GD00208,14/01/2025 17:32,CN03,KH0353,SP03,,Tại quán,12.6,Rất tốt
GD00209,14/01/2025 18:21,CN02,KH0277,SP03,2,Mang đi,4.1,Tốt
GD00210,15/01/2025 08:05,CN01,,SP05,1,Tại quán,9.9,
GD00211,15/01/2025 08:34,CN04,,SP14,,Mang đi,2.9,
GD00212,15/01/2025 09:11,CN01,KH0347,SP07,1,Mang đi,5.9,Bình thường
GD00213,15/01/2025 12:25,CN03,,SP06,1,Tại quán,4.0,Rất tốt
GD00214,15/01/2025 13:16,CN02,,SP15,1,Mang đi,2.7,Tốt
GD00215,15/01/2025 13:25,CN04,KH0141,SP03,1,Tại quán,3.8,Rất tốt
GD00216,15/01/2025 13:37,CN04,,SP03,1,Tại quán,3.7,Bình thường
GD00217,15/01/2025 14:31,CN01,KH0105,SP08,1,Mang đi,3.9,
GD00218,15/01/2025 15:07,CN04,KH0154,SP03,1,Mang đi,1.4,Rất tốt
GD00219,15/01/2025 16:09,CN01,KH0003,SP07,1,Mang đi,7.3,Rất tốt
GD00220,15/01/2025 16:44,CN01,KH0018,SP03,2,Mang đi,5.1,Rất tốt
GD00221,15/01/2025 16:58,CN01,KH0209,SP16,1,Tại quán,2.1,Rất tốt
GD00222,15/01/2025 17:36,CN02,KH0001,SP01,3,Tại quán,2.2,
GD00223,15/01/2025 18:49,CN03,,SP18,1,Mang đi,3.6,Rất tốt
GD00224,15/01/2025 18:50,CN02,KH0392,SP01,2,Mang đi,2.2,Tốt
GD00225,15/01/2025 18:55,CN02,KH0060,SP10,2,Mang đi,3.2,
GD00226,15/01/2025 19:27,CN01,,SP16,2,Tại quán,9.1,Rất tốt
GD00227,15/01/2025 19:51,CN04,,SP03,1,Giao hàng,29.0,Bình thường
GD00228,15/01/2025 20:12,CN02,KH0295,SP03,2,Tại quán,3.8,Bình thường
GD00229,15/01/2025 21:23,CN01,KH0236,SP09,2,Tại quán,8.6,
GD00230,16/01/2025 07:52,CN03,KH0125,SP05,2,Mang đi,6.7,Tốt
GD00231,16/01/2025 08:35,CN03,KH0109,SP12,1,Mang đi,4.6,
GD00232,16/01/2025 10:32,CN01,KH0147,SP05,,Mang đi  ,2.0,
GD00233,16/01/2025 12:03,CN01,KH0094,SP02,2,Tại quán,4.9,Rất tốt
GD00234,16/01/2025 19:02,CN03,KH0008,SP03,1,Tại quán,7.8,Bình thường
GD00235,16/01/2025 20:10,CN03,KH0009,SP06,2,Tại quán,7.7,Rất tốt
GD00236,16/01/2025 21:26,CN04,,SP08,1,Tại quán,6.8,Rất tốt
GD00237,17/01/2025 08:00,CN01,KH0011,SP06,4,Mang đi,2.5,Tốt
GD00238,17/01/2025 08:59,CN02,KH0306,SP01,2,Mang đi,6.0,Rất tốt
GD00239,17/01/2025 09:56,CN03,KH0304,SP04,2,Mang đi,1.3,Tốt
GD00240,17/01/2025 10:13,CN03,KH0067,SP02,2,Tại quán,8.6,Rất tốt
GD00241,17/01/2025 10:18,CN02,KH0219,SP14,2,TẠI QUÁN,2.3,Rất tốt
GD00242,17/01/2025 15:20,CN04,KH0310,SP02,2,Tại quán,10.8,Tốt
GD00243,17/01/2025 17:28,CN01,KH0019,SP11,2,Tại quán,3.9,Tốt
GD00244,17/01/2025 18:38,CN02,KH0393,SP08,1,MANG ĐI,8.1,
GD00245,17/01/2025 19:05,CN03,KH0174,SP14,1,Mang đi,4.5,
GD00246,18/01/2025 07:31,CN01,,SP02,1,Tại quán,7.5,
GD00247,18/01/2025 07:35,CN04,KH0189,SP04,1,Mang đi,2.0,Tốt
GD00248,18/01/2025 08:44,CN01,KH0212,SP01,3,tại quán,8.1,Bình thường
GD00248,18/01/2025 08:44,CN01,KH0212,SP01,3,tại quán,8.1,Bình thường
GD00249,18/01/2025 09:01,CN01,,SP07,1,Tại quán,4.8,Tốt
GD00250,18/01/2025 09:02,CN01,KH0370,SP03,1,Tại quán,5.3,Tốt
GD00251,18/01/2025 09:13,CN03,KH0049,SP09,2,Tại quán,4.0,Tốt
GD00252,18/01/2025 09:19,CN04,KH0334,SP04,5,Tại quán,3.5,Rất tốt
GD00253,18/01/2025 09:41,CN04,KH0055,SP11,2,Mang đi,2.8,Rất tốt
GD00254,18/01/2025 10:40,CN04,KH0391,SP06,2,Giao hàng,31.4,Bình thường
GD00255,18/01/2025 10:47,CN03,,SP02,5, Tại quán,3.8,Rất tốt
GD00256,18/01/2025 12:13,CN02,KH0180,SP01,3,Mang đi,2.2,Rất tốt
GD00257,18/01/2025 12:49,CN01,,SP07,2,Mang đi,2.7,
GD00258,18/01/2025 13:46,CN02,,SP10,1,Mang đi,5.2,
GD00259,18/01/2025 14:42,CN02,,SP09,2,Tại quán,9.9,Tốt
GD00260,18/01/2025 15:10,CN01,KH0182,SP09,1,Tại quán,7.4,
GD00261,18/01/2025 15:52,CN01,KH0162,SP05,3,Mang đi,3.7,Bình thường
GD00262,18/01/2025 17:23,CN04,KH0003,SP03,2,Mang đi,5.0,Tốt
GD00262,18/01/2025 17:23,CN04,KH0003,SP03,2,Mang đi,5.0,Tốt
GD00263,18/01/2025 19:18,CN02,KH0092,SP03,1,Tại quán,3.4,Rất tốt
GD00264,18/01/2025 21:50,CN01,,SP08,1,Mang đi,8.5,
GD00265,19/01/2025 07:01,CN01,KH0207,SP01,1,Tại quán,3.1,Bình thường
GD00266,19/01/2025 07:45,CN03,,SP02,1,Tại quán,2.8,Bình thường
GD00267,19/01/2025 09:07,CN01,KH0043,SP03,1,Mang đi,4.2,Tốt
GD00268,19/01/2025 10:12,CN03,,SP06,1,Tại quán,4.1,Rất tốt
GD00269,19/01/2025 10:13,CN04,KH0185,SP15,1,Mang đi,6.3,Bình thường
GD00270,19/01/2025 10:58,CN03,,SP06,2,Mang đi,5.4,Tốt
GD00271,19/01/2025 11:45,CN03,KH0262,SP04,2,Mang đi,5.8,Bình thường
GD00272,19/01/2025 12:31,CN04,KH0297,SP07,5,Mang đi,3.9,Bình thường
GD00273,19/01/2025 12:43,CN01,KH0030,SP05,1,Giao hàng,17.5,
GD00274,19/01/2025 12:51,CN01,KH0218,SP02,1,Mang đi,3.5,Bình thường
GD00275,19/01/2025 14:05,CN03,,SP01,2,Giao hàng,24.8,Bình thường
GD00276,19/01/2025 14:58,CN04,KH0249,SP10,2,Mang đi,4.1,Rất tốt
GD00277,19/01/2025 16:57,CN03,,SP03,1,Mang di,3.0,Tốt
GD00278,19/01/2025 17:29,CN02,,SP15,2,Tại quán,3.1,
GD00279,19/01/2025 18:38,CN02,KH0262,SP03,2,Tại quán,4.4,Bình thường
GD00280,19/01/2025 19:53,CN03,KH0166,SP15,1,Tại quán,3.8,Rất tốt
GD00281,20/01/2025 07:08,CN04,KH0334,SP02,1,Tại quán,1.8,
GD00282,20/01/2025 08:04,CN01,KH0334,SP04,3,Tại quán,12.1,Tốt
GD00283,20/01/2025 09:58,CN04,KH0097,SP03,3,Giao hàng,29.2,Bình thường
GD00284,20/01/2025 10:14,CN01,KH0069,SP02,4,Tại quán,7.7,Bình thường
GD00285,20/01/2025 11:22,CN01,KH0443,SP02,2,Mang đi,2.5,Tốt
GD00286,20/01/2025 12:49,CN02,KH0093,SP07,2,Tại quán,15.5,Tốt
GD00287,20/01/2025 13:58,CN01,KH0356,SP16,1,Tại quán,6.9,
GD00288,20/01/2025 15:11,CN03,,SP12,2,Giao hàng,32.3,
GD00289,20/01/2025 17:04,CN02,,SP08,1,Tại quán,7.7,Rất tốt
GD00290,20/01/2025 17:23,CN01,KH0003,SP04,2,Tại quán,6.3,Rất tốt
GD00291,20/01/2025 18:45,CN04,KH0323,SP07,1,Tai quan,4.3,Tốt
GD00292,20/01/2025 18:53,CN02,,SP07,1,Mang đi,4.4,
GD00293,20/01/2025 21:23,CN03,KH0425,SP13,1,Giao hàng,17.6,Tệ
GD00294,21/01/2025 08:16,CN01,,SP12,3,Tại quán,7.0,Tốt
GD00295,21/01/2025 09:37,CN03,KH0028,SP01,2,Mang đi,3.3,Tốt
GD00296,21/01/2025 10:49,CN01,KH0240,SP13,2,Tại quán,6.4,Bình thường
GD00297,21/01/2025 12:01,CN03,,SP13,1,Mang đi,7.7,Rất tốt
GD00298,21/01/2025 13:16,CN03,KH0364,SP07,3,Mang đi,4.9,
GD00299,21/01/2025 14:20,CN02,KH0354,SP06,2,Tại quán,4.1,Rất tốt
GD00300,21/01/2025 15:02,CN04,KH0207,SP06,2,Tại quán,4.2,Rất tốt
GD00301,21/01/2025 15:13,CN03,KH0077,SP16,1,Mang đi,3.1,
GD00302,21/01/2025 15:48,CN01,KH0041,SP14,2,Mang đi,3.0,Bình thường
GD00303,21/01/2025 15:52,CN03,,SP08,2,mang đi,2.7,Tốt
GD00304,21/01/2025 15:55,CN02,,SP10,1,Giao hàng,48.4,Tệ
