# NHAT KY CA LAM VIEC - THANG 06/2025
# Dinh dang: YYYY-MM-DD | NVxxx | CNxx | ca=CA | vao=HH:MM | ra=HH:MM
# CA: SANG (07:00-11:00), CHIEU (12:00-17:00), TOI (17:00-22:00)
2025-06-01 | NV001 | CN02 | ca=SANG | vao=06:52 | ra=11:09
2025-06-03 | NV001 | CN02 | ca=TOI | vao=16:51 | ra=22:16
2025-06-03 | NV010 | CN04 | ca=TOI | vao=16:52 | ra=22:11
2025-06-03 | NV002 | CN03 | ca=TOI | vao=16:54 | ra=22:02
2025-06-03 | NV006 | CN03 | ca=TOI | vao=16:56 | ra=22:18
2025-06-03 | NV004 | CN01 | ca=TOI | vao=17:19 | ra=22:04
2025-06-04 | NV002 | CN04 | ca=SANG | vao=06:45 | ra=11:10
2025-06-04 | NV003 | CN03 | ca=SANG | vao=06:49 | ra=11:04
2025-06-04 | NV014 | CN03 | ca=SANG | vao=06:51 | ra=11:12
2025-06-04 | NV008 | CN01 | ca=SANG | vao=06:54 | ra=11:17

2025-06-04 | NV001 | CN04 | ca=SANG | vao=07:00 | ra=11:09
2025-06-04 | NV003 | CN02 | ca=SANG | vao=07:01 | ra=11:11
2025-06-04 | NV002 | CN01 | ca=SANG | vao=07:03 | ra=10:57
2025-06-04 | NV009 | CN02 | ca=SANG | vao=07:03 | ra=11:02
2025-06-13 | NV10 | CN01 | ca=SANG | vao=06:58 | ra=11:00
2025-06-04 | NV010 | CN04 | ca=CHIEU | vao=11:45 | ra=17:01

2025-06-04 | NV011 | CN04 | ca=CHIEU | vao=11:47 | ra=17:11
2025-06-04 | NV002 | CN01 | ca=CHIEU | vao=11:48 | ra=17:15
2025-06-04 | NV001 | CN03 | ca=CHIEU | vao=11:51 | ra=17:11
2025-06-04 | NV003 | CN02 | ca=CHIEU | vao=11:57 | ra=16:57
2025-06-04 | NV012 | CN01 | ca=CHIEU | vao=11:58 | ra=17:11
2025-06-04 | NV014 | CN03 | ca=CHIEU | vao=11:59 | ra=16:58
2025-06-04 | NV004 | CN02 | ca=CHIEU | vao=12:00 | ra=17:05
2025-06-11 | NV012 | CN04 | ca=toi | vao=16:59 | ra=22:00
2025-06-04 | NV009 | CN02 | ca=TOI | vao=16:45 | ra=22:09
2025-06-04 | NV006 | CN03 | ca=TOI | vao=16:45 | ra=22:07
2025-06-04 | NV003 | CN04 | ca=TOI | vao=16:48 | ra=22:08
2025-06-04 | NV014 | CN03 | ca=TOI | vao=16:50 | ra=22:04
2025-06-04 | NV002 | CN01 | ca=TOI | vao=16:53 | ra=22:11
2025-06-04 | NV001 | CN02 | ca=TOI | vao=16:53 | ra=22:14
2025-06-04 | NV002 | CN04 | ca=TOI | vao=16:54 | ra=22:08
2025-06-04 | NV008 | CN01 | ca=TOI | vao=17:03 | ra=22:06
2025-06-05 | NV006 | CN03 | ca=SANG | vao=06:47 | ra=11:01
2025-06-05 | NV001 | CN03 | ca=SANG | vao=06:49 | ra=10:57
2025-06-05 | NV004 | CN01 | ca=SANG | vao=06:51 | ra=11:20
2025-06-05 | NV005 | CN02 | ca=SANG | vao=06:52 | ra=11:00
2025-06-05 | NV002 | CN02 | ca=SANG | vao=06:53 | ra=10:59
2025-06-05 | NV007 | CN01 | ca=SANG | vao=06:55 | ra=11:16
2025-06-05 | NV002 | CN04 | ca=SANG | vao=06:55 | ra=11:17
2025-06-05 | NV001 | CN04 | ca=SANG | vao=06:58 | ra=11:17
2025-06-05 | NV011 | CN04 | ca=CHIEU | vao=11:46 | ra=17:08
2025-06-05 | NV003 | CN04 | ca=CHIEU | vao=11:48 | ra=17:05
2025-06-05 | NV003 | CN01 | ca=CHIEU | vao=11:58 | ra=17:03
2025-06-05 | NV014 | CN03 | ca=CHIEU | vao=11:58 | ra=17:13
2025-06-05 | NV006 | CN03 | ca=CHIEU | vao=12:02 | ra=17:13
2025-06-05 | NV012 | CN01 | ca=CHIEU | vao=12:03 | ra=17:07
2025-06-05 | NV003 | CN02 | ca=CHIEU | vao=12:04 | ra=17:00
2025-06-05 | NV009 | CN02 | ca=CHIEU | vao=12:18 | ra=17:15
2025-06-05 | NV001 | CN02 | ca=TOI | vao=16:45 | ra=22:09


2025-06-05 | NV013 | CN02 | ca=TOI | vao=16:52 | ra=22:11
2025-06-05 | NV008 | CN01 | ca=TOI | vao=16:53 | ra=21:58
2025-06-05 | NV007 | CN04 | ca=TOI | vao=16:59 | ra=21:56
2025-06-05 | NV011 | CN04 | ca=TOI | vao=17:00 | ra=22:01
2025-06-05 | NV002 | CN01 | ca=TOI | vao=17:03 | ra=22:17
2025-06-05 | NV003 | CN03 | ca=TOI | vao=17:04 | ra=22:03
2025-06-05 | NV010 | CN03 | ca=TOI | vao=17:05 | ra=21:55
2025-06-06 | NV001 | CN04 | ca=SANG | vao=06:45 | ra=11:04
2025-06-06 | NV001 | CN01 | ca=SANG | vao=06:54 | ra=11:05
2025-06-06 | NV010 | CN04 | ca=SANG | vao=06:56 | ra=11:17
2025-06-06 | NV002 | CN01 | ca=SANG | vao=06:58 | ra=10:59
2025-06-06 | NV001 | CN02 | ca=SANG | vao=07:04 | ra=11:16
2025-06-06 | NV010 | CN03 | ca=SANG | vao=07:04 | ra=10:58
2025-06-06 | NV009 | CN02 | ca=SANG | vao=07:05 | ra=11:13
2025-06-06 | NV014 | CN03 | ca=SANG | vao=07:22 | ra=11:10
2025-06-06 | NV013 | CN03 | ca=CHIEU | vao=11:46 | ra=17:12
2025-06-06 | NV009 | CN02 | ca=CHIEU | vao=11:51 | ra=17:16
2025-06-06 | NV001 | CN01 | ca=CHIEU | vao=11:53 | ra=16:56
2025-06-06 | NV001 | CN04 | ca=CHIEU | vao=11:54 | ra=17:11
2025-06-06 | NV003 | CN04 | ca=CHIEU | vao=11:57 | ra=17:09
2025-06-06 | NV003 | CN03 | ca=CHIEU | vao=12:03 | ra=17:09
2025-06-06 | NV013 | CN02 | ca=CHIEU | vao=12:11 | ra=17:00
2025-06-06 | NV003 | CN01 | ca=CHIEU | vao=12:23 | ra=17:05
2025-06-06 | NV006 | CN03 | ca=TOI | vao=16:47 | ra=22:06
2025-06-06 | NV003 | CN01 | ca=TOI | vao=16:48 | ra=21:55
2025-06-06 | NV002 | CN01 | ca=TOI | vao=16:51 | ra=21:59
2025-06-06 | NV005 | CN02 | ca=TOI | vao=17:01 | ra=22:09
2025-06-06 | NV014 | CN03 | ca=TOI | vao=17:01 | ra=22:07
2025-06-06 | NV001 | CN02 | ca=TOI | vao=17:04 | ra=21:55
2025-06-06 | NV007 | CN04 | ca=TOI | vao=17:15 | ra=22:10
2025-06-06 | NV002 | CN04 | ca=TOI | vao=17:17 | ra=21:59
2025-06-07 | NV010 | CN03 | ca=SANG | vao=06:49 | ra=11:02
2025-06-07 | NV013 | CN03 | ca=SANG | vao=06:49 | ra=11:10
2025-06-07 | NV001 | CN04 | ca=SANG | vao=06:53 | ra=11:13
2025-06-07 | NV012 | CN01 | ca=SANG | vao=06:54 | ra=10:58
2025-06-07 | NV001 | CN01 | ca=SANG | vao=06:55 | ra=10:55
2025-06-07 | NV009 | CN02 | ca=SANG | vao=06:58 | ra=10:59
2025-06-07 | NV010 | CN04 | ca=SANG | vao=06:59 | ra=11:14
2025-06-17 | NV007 | CN03 | ca=chieu | vao=12:09 | ra=17:00
2025-06-07 | NV002 | CN02 | ca=SANG | vao=07:02 | ra=10:56
2025-06-07 | NV004 | CN02 | ca=CHIEU | vao=11:46 | ra=17:15
2025-06-07 | NV008 | CN01 | ca=CHIEU | vao=11:47 | ra=16:56
2025-06-07 | NV003 | CN03 | ca=CHIEU | vao=11:48 | ra=17:10
2025-06-07 | NV002 | CN04 | ca=CHIEU | vao=11:48 | ra=17:15
2025-06-07 | NV003 | CN04 | ca=CHIEU | vao=11:49 | ra=17:18
2025-06-07 | NV002 | CN01 | ca=CHIEU | vao=11:56 | ra=17:09
2025-06-07 | NV005 | CN02 | ca=CHIEU | vao=11:58 | ra=17:02
2025-06-07 | NV014 | CN03 | ca=CHIEU | vao=12:04 | ra=16:56
2025-06-07 | NV004 | CN01 | ca=TOI | vao=16:46 | ra=22:02
2025-06-07 | NV002 | CN03 | ca=TOI | vao=16:47 | ra=22:07
2025-06-07 | NV007 | CN04 | ca=TOI | vao=16:57 | ra=21:55
2025-06-07 | NV002 | CN02 | ca=TOI | vao=16:58 | ra=22:17
2025-06-07 | NV001 | CN04 | ca=TOI | vao=17:00 | ra=22:19
2025-06-18 | NV013 | CN01 | ca=SANG | vao=07h13 | ra=11:00
2025-06-07 | NV006 | CN03 | ca=TOI | vao=17:01 | ra=22:18
2025-06-07 | NV003 | CN01 | ca=TOI | vao=17:10 | ra=22:12
2025-06-07 | NV013 | CN02 | ca=TOI | vao=17:15 | ra=21:58
2025-06-19 | NV006 | CN03 | ca=sang | vao=07:13 | ra=11:00
2025-06-08 | NV003 | CN04 | ca=SANG | vao=06:48 | ra=11:11
2025-06-08 | NV001 | CN02 | ca=SANG | vao=06:49 | ra=11:16
2025-06-08 | NV010 | CN03 | ca=SANG | vao=06:59 | ra=11:19
2025-06-08 | NV007 | CN01 | ca=SANG | vao=07:01 | ra=10:59
2025-06-08 | NV009 | CN02 | ca=SANG | vao=07:02 | ra=11:05

2025-06-08 | NV012 | CN01 | ca=SANG | vao=07:07 | ra=10:58
2025-06-08 | NV001 | CN04 | ca=SANG | vao=07:09 | ra=11:09
2025-06-08 | NV002 | CN03 | ca=SANG | vao=07:16 | ra=11:14
2025-06-08 | NV013 | CN02 | ca=CHIEU | vao=11:50 | ra=16:59
2025-06-08 | NV012 | CN01 | ca=CHIEU | vao=11:56 | ra=17:19
2025-06-08 | NV005 | CN02 | ca=CHIEU | vao=12:00 | ra=17:09
2025-06-08 | NV003 | CN03 | ca=CHIEU | vao=12:03 | ra=17:04
2025-06-08 | NV001 | CN03 | ca=CHIEU | vao=12:05 | ra=17:15
2025-06-08 | NV003 | CN04 | ca=CHIEU | vao=12:05 | ra=17:05
2025-06-08 | NV001 | CN04 | ca=CHIEU | vao=12:12 | ra=16:56
2025-06-08 | NV008 | CN01 | ca=CHIEU | vao=12:15 | ra=17:09
2025-06-08 | NV001 | CN03 | ca=TOI | vao=16:51 | ra=22:17
2025-06-08 | NV006 | CN03 | ca=TOI | vao=16:51 | ra=22:07
2025-06-08 | NV009 | CN02 | ca=TOI | vao=16:59 | ra=22:09
2025-06-08 | NV002 | CN02 | ca=TOI | vao=17:00 | ra=22:08
2025-06-08 | NV002 | CN04 | ca=TOI | vao=17:00 | ra=22:07
2025-06-08 | NV003 | CN01 | ca=TOI | vao=17:01 | ra=21:56
2025-06-08 | NV011 | CN04 | ca=TOI | vao=17:01 | ra=22:02
2025-06-08 | NV002 | CN01 | ca=TOI | vao=17:22 | ra=22:05
2025-06-09 | NV005 | CN02 | ca=SANG | vao=06:50 | ra=10:57
2025-06-09 | NV004 | CN01 | ca=SANG | vao=06:53 | ra=11:07
2025-06-09 | NV004 | CN02 | ca=SANG | vao=06:55 | ra=10:57
2025-06-09 | NV002 | CN01 | ca=SANG | vao=06:56 | ra=11:15
2025-06-02 | NV005 | CN04 | ca=DEM | vao=17:13 | ra=22:00
2025-06-09 | NV014 | CN03 | ca=SANG | vao=06:58 | ra=11:02
2025-06-09 | NV011 | CN04 | ca=SANG | vao=07:02 | ra=11:10
2025-06-09 | NV001 | CN04 | ca=SANG | vao=07:03 | ra=11:02
2025-06-09 | NV002 | CN03 | ca=SANG | vao=07:21 | ra=10:58
2025-06-09 | NV013 | CN02 | ca=CHIEU | vao=11:51 | ra=17:07
2025-06-09 | NV001 | CN04 | ca=CHIEU | vao=11:59 | ra=17:01
2025-06-09 | NV002 | CN03 | ca=CHIEU | vao=12:00 | ra=16:56
2025-06-09 | NV004 | CN01 | ca=CHIEU | vao=12:01 | ra=17:18
2025-06-07 | NV13 | CN04 | ca=CHIEU | vao=12:06 | ra=17:00
2025-06-09 | NV008 | CN01 | ca=CHIEU | vao=12:03 | ra=17:00
2025-06-09 | NV005 | CN02 | ca=CHIEU | vao=12:03 | ra=17:07
2025-06-09 | NV002 | CN04 | ca=CHIEU | vao=12:05 | ra=17:10
2025-06-09 | NV006 | CN03 | ca=CHIEU | vao=12:10 | ra=16:57
2025-06-09 | NV010 | CN03 | ca=TOI | vao=16:45 | ra=22:11
2025-06-09 | NV008 | CN01 | ca=TOI | vao=16:51 | ra=21:57
2025-06-09 | NV012 | CN01 | ca=TOI | vao=16:51 | ra=22:14
2025-06-09 | NV003 | CN03 | ca=TOI | vao=16:51 | ra=22:08
2025-06-09 | NV013 | CN02 | ca=TOI | vao=16:54 | ra=21:56
2025-06-09 | NV011 | CN04 | ca=TOI | vao=17:01 | ra=22:11
2025-06-09 | NV007 | CN04 | ca=TOI | vao=17:05 | ra=22:11
2025-06-09 | NV001 | CN02 | ca=TOI | vao=17:17 | ra=21:55
2025-06-10 | NV001 | CN04 | ca=SANG | vao=06:48 | ra=11:11
2025-06-10 | NV003 | CN02 | ca=SANG | vao=06:51 | ra=11:07
2025-06-10 | NV002 | CN04 | ca=SANG | vao=06:52 | ra=11:09
2025-06-10 | NV001 | CN03 | ca=SANG | vao=06:53 | ra=11:10
2025-06-10 | NV001 | CN01 | ca=SANG | vao=06:55 | ra=10:58
2025-06-10 | NV003 | CN01 | ca=SANG | vao=07:00 | ra=11:09
2025-06-10 | NV013 | CN02 | ca=SANG | vao=07:05 | ra=11:16
2025-06-10 | NV013 | CN03 | ca=SANG | vao=07:05 | ra=11:05
2025-06-10 | NV010 | CN04 | ca=CHIEU | vao=11:47 | ra=17:07
2025-06-10 | NV005 | CN02 | ca=CHIEU | vao=11:48 | ra=16:56
2025-06-17 | NV014 | CN02 | ca=TOI | vao=17:13
2025-06-10 | NV010 | CN03 | ca=CHIEU | vao=11:48 | ra=17:17
2025-06-10 | NV003 | CN03 | ca=CHIEU | vao=11:51 | ra=17:15
2025-06-01|NV002|CN03|ca=CHIEU|vao=12:12|ra=17:00
2025-06-10 | NV008 | CN01 | ca=CHIEU | vao=11:55 | ra=17:09
2025-06-10 | NV004 | CN01 | ca=CHIEU | vao=12:03 | ra=17:18
2025-06-10 | NV001 | CN02 | ca=CHIEU | vao=12:04 | ra=17:15
2025-06-10 | NV003 | CN04 | ca=CHIEU | vao=12:05 | ra=17:10
2025-06-10 | NV001 | CN02 | ca=TOI | vao=16:47 | ra=22:03
2025-06-10 | NV004 | CN02 | ca=TOI | vao=16:49 | ra=22:19
2025-06-10 | NV002 | CN04 | ca=TOI | vao=16:51 | ra=22:07
2025-06-10 | NV007 | CN04 | ca=TOI | vao=16:56 | ra=22:14
2025-06-10 | NV001 | CN03 | ca=TOI | vao=16:57 | ra=22:07
2025-06-10 | NV002 | CN03 | ca=TOI | vao=16:58 | ra=22:00
2025-06-10 | NV008 | CN01 | ca=TOI | vao=17:00 | ra=22:06
2025-06-05 | NV003 | CN02 | ca=TOI | vao=16:51
2025-06-10 | NV001 | CN01 | ca=TOI | vao=17:05 | ra=22:19
2025-06-11 | NV007 | CN01 | ca=SANG | vao=06:50 | ra=10:59
2025-06-11 | NV007 | CN04 | ca=SANG | vao=06:50 | ra=11:01
2025-06-11 | NV002 | CN03 | ca=SANG | vao=06:53 | ra=11:08
2025-06-11 | NV013 | CN03 | ca=SANG | vao=06:54 | ra=11:03
2025-06-11 | NV002 | CN04 | ca=SANG | vao=06:57 | ra=11:18
2025-06-11 | NV009 | CN02 | ca=SANG | vao=07:00 | ra=11:09
2025-06-11 | NV002 | CN01 | ca=SANG | vao=07:05 | ra=11:06
2025-06-11 | NV004 | CN02 | ca=SANG | vao=07:14 | ra=11:15
2025-06-11 | NV002 | CN01 | ca=CHIEU | vao=11:45 | ra=17:13
2025-06-11 | NV010 | CN04 | ca=CHIEU | vao=11:54 | ra=17:04
2025-06-11 | NV008 | CN01 | ca=CHIEU | vao=11:55 | ra=17:12
2025-06-11 | NV001 | CN02 | ca=CHIEU | vao=11:55 | ra=17:20
2025-06-11 | NV002 | CN02 | ca=CHIEU | vao=11:56 | ra=17:20
2025-06-11 | NV001 | CN03 | ca=CHIEU | vao=11:56 | ra=17:02
2025-06-11 | NV002 | CN04 | ca=CHIEU | vao=12:01 | ra=17:11
2025-06-11 | NV014 | CN03 | ca=CHIEU | vao=12:02 | ra=17:20
2025-06-11 | NV002 | CN04 | ca=TOI | vao=16:46 | ra=22:18
2025-06-11 | NV002 | CN01 | ca=TOI | vao=16:48 | ra=22:16
2025-06-11 | NV009 | CN02 | ca=TOI | vao=16:49 | ra=22:07
2025-06-11 | NV007 | CN04 | ca=TOI | vao=16:51 | ra=22:14
2025-06-11 | NV012 | CN01 | ca=TOI | vao=16:55 | ra=22:08
2025-06-11 | NV002 | CN03 | ca=TOI | vao=16:58 | ra=21:57
2025-06-11 | NV004 | CN02 | ca=TOI | vao=16:59 | ra=21:58
2025-06-11 | NV013 | CN03 | ca=TOI | vao=17:03 | ra=22:13
2025-06-11 | NV015 | CN02 | ca=TOI | vao=17:09 | ra=22:00
2025-06-12 | NV001 | CN02 | ca=SANG | vao=06:46 | ra=11:05
2025-06-12 | NV001 | CN03 | ca=SANG | vao=06:46 | ra=10:56
2025-06-12 | NV003 | CN01 | ca=SANG | vao=06:47 | ra=11:17
2025-06-12 | NV002 | CN03 | ca=SANG | vao=06:48 | ra=10:55
2025-06-12 | NV002 | CN02 | ca=SANG | vao=06:55 | ra=10:57
2025-06-12 | NV001 | CN04 | ca=SANG | vao=07:00 | ra=11:11
2025-06-12 | NV007 | CN01 | ca=SANG | vao=07:01 | ra=11:03
2025-06-12 | NV011 | CN04 | ca=SANG | vao=07:05 | ra=11:15
2025-06-12 | NV006 | CN03 | ca=CHIEU | vao=11:48 | ra=17:12
2025-06-22 | NV007 | CN03 | ca=SANG | vao=07h02 | ra=11:00
2025-06-12 | NV013 | CN02 | ca=CHIEU | vao=11:53 | ra=17:11
2025-06-12 | NV003 | CN04 | ca=CHIEU | vao=11:56 | ra=16:56
2025-06-12 | NV002 | CN04 | ca=CHIEU | vao=11:58 | ra=17:03
2025-06-12 | NV013 | CN03 | ca=CHIEU | vao=12:03 | ra=16:58
2025-06-12 | NV003 | CN02 | ca=CHIEU | vao=12:05 | ra=17:11
2025-06-12 | NV004 | CN01 | ca=CHIEU | vao=12:06 | ra=16:56
2025-06-12 | NV012 | CN01 | ca=CHIEU | vao=12:15 | ra=17:13
2025-06-12 | NV001 | CN04 | ca=TOI | vao=16:45 | ra=22:01
2025-06-12 | NV006 | CN03 | ca=TOI | vao=16:48 | ra=22:11
2025-06-12 | NV011 | CN04 | ca=TOI | vao=16:48 | ra=22:20
2025-06-12 | NV002 | CN02 | ca=TOI | vao=16:50 | ra=21:56
2025-06-12 | NV009 | CN02 | ca=TOI | vao=16:55 | ra=22:01
2025-06-24 | NV006 | CN03 | ca=sang | vao=07:08 | ra=11:00
2025-06-12 | NV008 | CN01 | ca=TOI | vao=16:58 | ra=22:05
2025-06-12 | NV007 | CN01 | ca=TOI | vao=17:00 | ra=22:00
2025-06-12 | NV003 | CN03 | ca=TOI | vao=17:00 | ra=22:06
2025-06-13 | NV008 | CN01 | ca=SANG | vao=06:50 | ra=10:59
2025-06-13 | NV014 | CN03 | ca=SANG | vao=06:55 | ra=10:57
2025-06-13 | NV002 | CN03 | ca=SANG | vao=06:55 | ra=11:04
2025-06-13 | NV007 | CN04 | ca=SANG | vao=06:57 | ra=11:14
2025-06-13 | NV004 | CN02 | ca=SANG | vao=06:59 | ra=10:58
2025-06-13 | NV005 | CN02 | ca=SANG | vao=07:03 | ra=10:55
2025-06-13 | NV010 | CN04 | ca=SANG | vao=07:05 | ra=11:08
2025-06-13 | NV012 | CN01 | ca=SANG | vao=07:12 | ra=10:58
2025-06-13 | NV001 | CN04 | ca=CHIEU | vao=11:46 | ra=17:16
2025-06-13 | NV010 | CN03 | ca=CHIEU | vao=11:47 | ra=17:06
2025-06-13 | NV011 | CN04 | ca=CHIEU | vao=11:48 | ra=17:01
2025-06-13 | NV002 | CN01 | ca=CHIEU | vao=11:51 | ra=17:11
2025-06-13 | NV012 | CN01 | ca=CHIEU | vao=11:51 | ra=17:18
2025-06-06 | NV003 | CN02 | ca=TOI | vao=17h08 | ra=22:00
2025-06-13 | NV001 | CN03 | ca=CHIEU | vao=11:59 | ra=16:59
2025-06-13 | NV013 | CN02 | ca=CHIEU | vao=12:03 | ra=17:06
2025-06-13 | NV001 | CN02 | ca=CHIEU | vao=12:06 | ra=16:57
2025-06-13 | NV006 | CN03 | ca=TOI | vao=16:47 | ra=22:19
2025-06-13 | NV002 | CN01 | ca=TOI | vao=16:48 | ra=22:02
2025-06-13 | NV011 | CN04 | ca=TOI | vao=16:48 | ra=22:12
2025-06-13 | NV007 | CN04 | ca=TOI | vao=16:48 | ra=22:07
2025-06-13 | NV001 | CN03 | ca=TOI | vao=17:02 | ra=21:59
2025-06-13 | NV012 | CN01 | ca=TOI | vao=17:04 | ra=22:17
2025-06-13 | NV009 | CN02 | ca=TOI | vao=17:11 | ra=22:18
2025-06-13 | NV013 | CN02 | ca=TOI | vao=17:12 | ra=22:20
2025-06-14 | NV011 | CN04 | ca=SANG | vao=06:47 | ra=11:19
2025-06-14 | NV003 | CN03 | ca=SANG | vao=06:49 | ra=11:10
2025-06-14 | NV010 | CN04 | ca=SANG | vao=06:52 | ra=11:03
2025-06-14 | NV013 | CN03 | ca=SANG | vao=06:56 | ra=10:58
2025-06-14 | NV009 | CN02 | ca=SANG | vao=06:59 | ra=10:59
