ma_don,ngay_dat,ma_kh,thanh_pho,danh_muc,don_gia,so_luong,phuong_thuc_tt,danh_gia
DH00022,02/01/2025,KH0149,Hà Nội ,Mỹ phẩm,174000,2,Tiền mặt,
DH00023,02/01/2025,KH0076,Đà Nẵng,Thực phẩm,22000,1,Chuyển khoản,3
DH00024,02/01/2025,KH0248,Cần Thơ,Văn phòng phẩm,14000,1,Chuyển khoản,4
DH00025,02/01/2025,KH0236,Hồ Chí Minh,Đồ uống,14000,6,Tiền mặt,5
DH00026,02/01/2025,KH0155,Hà Nội,Đồ uống,27000,5,Chuyển khoản,5
DH00027,02/01/2025,KH0248,Hà Nội ,Đồ uống,13000,4,Tiền mặt,3
DH00028,02/01/2025,,Hồ Chí Minh,Gia dụng,419000,1,Ví điện tử,4
DH00029,02/01/2025,KH0268,Đà Nẵng,Thực phẩm,44000,3,Tiền mặt,
DH00030,02/01/2025,KH0449,Cần Thơ,Thực phẩm,88000,1,Chuyển khoản,4
DH00031,02/01/2025,KH0192,Hồ Chí Minh,Văn phòng phẩm,15000,4,Chuyển khoản,1
DH00032,03/01/2025,KH0310,Hồ Chí Minh,Thực phẩm,60000,2,Chuyển khoản,3
DH00033,03/01/2025,KH0239,Cần Thơ,Đồ uống,14000,4,Ví điện tử,
DH00034,03/01/2025,KH0180,Hồ Chí Minh,Thực phẩm,126000,3,Tiền mặt,3
DH00035,03/01/2025,KH0058,Hà Nội,Đồ uống,13000,3,Chuyển khoản,5
DH00036,03/01/2025,KH0367,Hà Nội,Thực phẩm,142000,3,Chuyển khoản,5
DH00037,03/01/2025,KH0052,Hà Nội,Đồ uống,45000,4,Tiền mặt,3
DH00038,03/01/2025,KH0415,Hồ Chí Minh,Văn phòng phẩm,51000,4,Ví điện tử,5
DH00039,03/01/2025,KH0060,Huế,Thực phẩm,64000,2,Ví điện tử,2
DH00040,03/01/2025,KH0253,Đà Nẵng,Mỹ phẩm,101000,5,Tiền mặt,5
DH00041,03/01/2025,KH0198,Hồ Chí Minh,Thực phẩm,147000,3,Chuyển khoản,3
DH00042,03/01/2025,KH0487,Hà Nội,Mỹ phẩm,406000,4,Chuyển khoản,5
DH00043,04/01/2025,KH0059,Hà Nội,Đồ uống,36000,3,Chuyển khoản,
DH00044,04/01/2025,KH0025,Hà Nội,Đồ uống,37000,8,Ví điện tử,
DH00045,04/01/2025,KH0105,Đà Nẵng,Văn phòng phẩm,16000,4,Tiền mặt,5
DH00046,04/01/2025,KH0276,Đà Nẵng,Đồ uống,27000,1,Ví điện tử,4
DH00047,04/01/2025,KH0258,Hồ Chí Minh,Văn phòng phẩm,48000,4,Chuyển khoản,3
DH00048,04/01/2025,KH0195,Hà Nội,Văn phòng phẩm,11000,4,Ví điện tử,
DH00049,04/01/2025,KH0279,Hà Nội,Đồ uống,41000,3,Tiền mặt,3
DH00050,04/01/2025,,Hà Nội,Mỹ phẩm,210000,2,Ví điện tử,2
DH00051,04/01/2025,,Hồ Chí Minh,Gia dụng,499000,2,Chuyển khoản,3
DH00052,04/01/2025,KH0187,Hà Nội,Mỹ phẩm,224000,4,Ví điện tử,4
DH00053,04/01/2025,KH0406,Hồ Chí Minh,Đồ uống,20000,3,Ví điện tử,5
DH00054,04/01/2025,,Cần Thơ,Thực phẩm,58000,1,Tiền mặt,4
DH00055,04/01/2025,KH0228,Hà Nội,Thực phẩm,117000,1,Ví điện tử,5
DH00056,04/01/2025,KH0368,Hồ Chí Minh,Văn phòng phẩm,13000,3,Chuyển khoản,4
DH00057,04/01/2025,KH0374,Hà Nội,Gia dụng,95000,3,Tiền mặt,3
DH00058,04/01/2025,KH0202,HUẾ,Mỹ phẩm,142000,2,Ví điện tử,
DH00059,05/01/2025,KH0139,Cần Thơ,Đồ uống,40000,1,Tiền mặt,2
DH00060,05/01/2025,KH0437,Hà Nội,Thực phẩm,30000,,Chuyển khoản,4
DH00061,05/01/2025,KH0054,Đà Nẵng,Thực phẩm,112000,2,Ví điện tử,
DH00062,05/01/2025,,Hồ Chí Minh,Văn phòng phẩm,22000,4,Chuyển khoản,3
DH00063,05/01/2025,KH0507,hồ chí minh,Mỹ phẩm,395000,2,Ví điện tử,2
DH00064,05/01/2025,KH0384,Đà Nẵng,Thực phẩm,63000,3,Tiền mặt,
DH00065,05/01/2025,KH0428,Đà Nẵng,Thực phẩm,120000,2,Tiền mặt,4
DH00066,05/01/2025,KH0488,Cần Thơ,Văn phòng phẩm,14000,5,Chuyển khoản,3
DH00067,05/01/2025,KH0445,Hồ Chí Minh ,Gia dụng,310000,2,Tiền mặt,3
DH00068,05/01/2025,KH0041,Hà Nội,Đồ uống,37000,4,Ví điện tử,2
DH00069,05/01/2025,KH0358, hà nội  ,Văn phòng phẩm,46000,3,Chuyển khoản,4
DH00070,05/01/2025,KH0299,Hồ Chí Minh,Văn phòng phẩm,13000,,Chuyển khoản,3
DH00071,05/01/2025,KH0003,Hồ Chí Minh,Gia dụng,169000,2,Ví điện tử,
DH00072,05/01/2025,KH0110, hà nội  ,Đồ uống,19000,3,Tiền mặt,4
DH00073,05/01/2025,KH0190,Cần Thơ,Mỹ phẩm,310000,2,Chuyển khoản,3
DH00074,05/01/2025,KH0144,Hà Nội,Văn phòng phẩm,28000,3,Chuyển khoản,5
DH00075,05/01/2025,KH0110,Huế,Thực phẩm,79000,3,Tiền mặt,5
DH00076,05/01/2025,KH0417,Đà Nẵng,Thực phẩm,39000,6,Tiền mặt,1
DH00077,06/01/2025,KH0056,Đà Nẵng,Đồ uống,34000,4,Ví điện tử,4
DH00078,06/01/2025,KH0267,Huế,Đồ uống,17000,4,Tiền mặt,5
DH00079,06/01/2025,KH0337, cần thơ  ,Thực phẩm,63000,4,Tiền mặt,2
DH00080,06/01/2025,KH0144,Hà Nội,Thực phẩm,77000,4,Tiền mặt,4
DH00081,06/01/2025,KH0094,Hồ Chí Minh,Đồ uống,35000,2,Chuyển khoản,5
DH00082,06/01/2025,KH0461,Đà Nẵng ,Đồ uống,41000,7,Chuyển khoản,4
DH00083,06/01/2025,KH0473,HỒ CHÍ MINH,Gia dụng,114000,2,Ví điện tử,3
DH00084,06/01/2025,KH0136,Hồ Chí Minh,Văn phòng phẩm,10000,3,Chuyển khoản,5
DH00085,06/01/2025,KH0102,HỒ CHÍ MINH,Đồ uống,33000,2,Ví điện tử,3
DH00086,06/01/2025,KH0193,Đà Nẵng,Thực phẩm,38000,2,Chuyển khoản,3
DH00087,06/01/2025,KH0477,Cần Thơ ,Văn phòng phẩm,56000,4,Chuyển khoản,2
DH00088,06/01/2025,,Hà Nội,Mỹ phẩm,436000,1,Chuyển khoản,4
DH00089,06/01/2025,KH0168,Huế,Thực phẩm,149000,2,Chuyển khoản,4
DH00090,06/01/2025,,Hồ Chí Minh,Đồ uống,23000,2,Chuyển khoản,
DH00091,06/01/2025,KH0253,Huế,Thực phẩm,79000,5,Chuyển khoản,2
DH00092,06/01/2025,KH0267,Huế,Mỹ phẩm,406000,,Tiền mặt,2
DH00093,06/01/2025,KH0033,Hà Nội,Thực phẩm,99000,3,Ví điện tử,4
DH00094,07/01/2025,KH0438,Hà Nội,Mỹ phẩm,143000,1,Chuyển khoản,4
DH00095,07/01/2025,KH0155,Huế,Văn phòng phẩm,11000,3,Chuyển khoản,5
DH00096,07/01/2025,KH0180,Hà Nội,Đồ uống,17000,6,Ví điện tử,
DH00097,07/01/2025,KH0436,Hồ Chí Minh,Đồ uống,21000,5,Tiền mặt,4
DH00098,07/01/2025,KH0370,Hồ Chí Minh,Đồ uống,41000,7,Ví điện tử,
DH00099,07/01/2025,KH0172,Hà Nội,Mỹ phẩm,96000,1,Ví điện tử,2
DH00100,07/01/2025,KH0032,Hà Nội,Thực phẩm,102000,2,Tiền mặt,
DH00101,07/01/2025,KH0235,Hà Nội,Gia dụng,262000,5,Chuyển khoản,
DH00102,07/01/2025,KH0178,Hà Nội,Thực phẩm,33000,3,Chuyển khoản,4
DH00103,07/01/2025,KH0131,Đà Nẵng,Thực phẩm,43000,5,Ví điện tử,3
DH00104,07/01/2025,KH0023,Huế,Văn phòng phẩm,57000,7,Chuyển khoản,4
DH00105,07/01/2025,KH0386,Hà Nội,Thực phẩm,68000,4,Chuyển khoản,4
DH00106,07/01/2025,KH0210,Hồ Chí Minh,Mỹ phẩm,266000,6,Ví điện tử,4
DH00107,08/01/2025,KH0210,Hà Nội,Thực phẩm,78000,4,Chuyển khoản,3
DH00108,08/01/2025,KH0272,hà nội,Đồ uống,42000,2,Tiền mặt,4
DH00109,08/01/2025,KH0201,Cần Thơ ,Thực phẩm,82000,2,Tiền mặt,3
DH00110,08/01/2025,KH0161,Hà Nội,Đồ uống,24000,4,Ví điện tử,4
DH00111,08/01/2025,KH0026,Hà Nội,Đồ uống,34000,4,Chuyển khoản,
DH00112,08/01/2025,KH0039,Huế,Thực phẩm,107000,2,Chuyển khoản,4
DH00113,08/01/2025,KH0053,Đà Nẵng,Văn phòng phẩm,41000,2,Chuyển khoản,2
DH00113,08/01/2025,KH0053,Đà Nẵng,Văn phòng phẩm,41000,2,Chuyển khoản,2
DH00114,08/01/2025,KH0024,Hồ Chí Minh,Thực phẩm,50000,4,Tiền mặt,3
DH00115,08/01/2025,KH0153,Cần Thơ,Văn phòng phẩm,41000,1,Chuyển khoản,3
DH00116,08/01/2025,KH0170,HÀ NỘI,Gia dụng,382000,3,Tiền mặt,
DH00117,08/01/2025,KH0415,Hà Nội,Văn phòng phẩm,51000,6,Chuyển khoản,2
DH00118,09/01/2025,,Cần Thơ,Đồ uống,44000,2,Ví điện tử,1
DH00119,09/01/2025,KH0153,Hồ Chí Minh,Mỹ phẩm,173000,1,Chuyển khoản,5
DH00120,09/01/2025,KH0217,Đà Nẵng,Mỹ phẩm,410000,1,Chuyển khoản,4
DH00121,09/01/2025,KH0092,Huế,Thực phẩm,93000,3,Chuyển khoản,4
DH00122,09/01/2025,KH0102,Hồ Chí Minh,Đồ uống,26000,3,Ví điện tử,4
DH00123,09/01/2025,KH0396,Cần Thơ,Đồ uống,34000,4,Tiền mặt,3
DH00124,09/01/2025,KH0210,Hà Nội,Đồ uống,45000,7,Ví điện tử,2
DH00125,09/01/2025,KH0263,Hồ Chí Minh,Mỹ phẩm,319000,1,Ví điện tử,5
DH00126,09/01/2025,KH0412,Hồ Chí Minh,Mỹ phẩm,243000,3,Chuyển khoản,4
DH00127,09/01/2025,KH0436,Hồ Chí Minh,Mỹ phẩm,110000,4,Ví điện tử,
DH00128,09/01/2025,KH0451,Cần Thơ,Thực phẩm,147000,4,Tiền mặt,5
DH00129,09/01/2025,KH0336,  Cần Thơ,Đồ uống,42000,6,Chuyển khoản,5
DH00130,10/01/2025,KH0473,Hà Nội,Đồ uống,15000,11,Tiền mặt,4
DH00131,10/01/2025,KH0235,Hồ Chí Minh,Mỹ phẩm,182000,3,Chuyển khoản,
DH00132,10/01/2025,KH0141,Hà Nội ,Đồ uống,34000,5,Ví điện tử,
DH00133,10/01/2025,KH0261,Hồ Chí Minh,Mỹ phẩm,329000,2,Ví điện tử,3
DH00134,10/01/2025,KH0210,Đà Nẵng,Thực phẩm,125000,5,Tiền mặt,5
DH00135,10/01/2025,KH0170,  Đà Nẵng,Thực phẩm,52000,4,Tiền mặt,4
DH00136,10/01/2025,KH0105,Đà Nẵng,Gia dụng,127000,4,Tiền mặt,4
DH00137,10/01/2025,KH0126,Hồ Chí Minh,Mỹ phẩm,434000,4,Tiền mặt,4
DH00138,10/01/2025,KH0232,Hà Nội,Đồ uống,31000,3,Ví điện tử,4
DH00139,10/01/2025,KH0412,Hồ Chí Minh,Văn phòng phẩm,7000,5,Chuyển khoản,1
DH00140,10/01/2025,KH0095,Hà Nội,Thực phẩm,120000,2,Ví điện tử,3
DH00141,10/01/2025,KH0135,Hồ Chí Minh,Mỹ phẩm,99000,3,Chuyển khoản,1
DH00142,10/01/2025,KH0369,Hà Nội,Thực phẩm,102000,3,Ví điện tử,4
DH00143,10/01/2025,KH0162,Hồ Chí Minh,Văn phòng phẩm,15000,1,Ví điện tử,5
DH00144,11/01/2025,KH0147,Đà Nẵng,Đồ uống,35000,4,Tiền mặt,4
DH00145,11/01/2025,KH0139,Hồ Chí Minh,Thực phẩm,76000,6,Ví điện tử,5
DH00145,11/01/2025,KH0139,Hồ Chí Minh,Thực phẩm,76000,6,Ví điện tử,5
DH00146,11/01/2025,KH0147,Hồ Chí Minh,Thực phẩm,22000,2,Tiền mặt,
DH00147,11/01/2025,KH0351,Hà Nội,Văn phòng phẩm,44000,6,Chuyển khoản,5
DH00148,11/01/2025,KH0435,Hà Nội,Đồ uống,37000,8,Ví điện tử,5
DH00149,11/01/2025,,Huế,Đồ uống,26000,,Ví điện tử,
DH00150,11/01/2025,,Hà Nội,Mỹ phẩm,309000,2,Chuyển khoản,4
DH00151,11/01/2025,KH0301,Hồ Chí Minh,Mỹ phẩm,232000,1,Ví điện tử,4
DH00152,11/01/2025,KH0127,HỒ CHÍ MINH,Mỹ phẩm,188000,2,Ví điện tử,
DH00153,11/01/2025,KH0033,Hồ Chí Minh,Đồ uống,30000,12,Ví điện tử,4
DH00154,11/01/2025,KH0112,HỒ CHÍ MINH,Mỹ phẩm,140000,3,Ví điện tử,4
DH00155,11/01/2025,KH0297,Huế,Mỹ phẩm,184000,2,Chuyển khoản,3
DH00156,11/01/2025,KH0012,Cần Thơ,Thực phẩm,36000,6,Ví điện tử,4
DH00157,11/01/2025,KH0063,Hồ Chí Minh,Thực phẩm,97000,,Chuyển khoản,3
DH00158,11/01/2025,KH0418,Hà Nội,Mỹ phẩm,394000,,Ví điện tử,
DH00159,11/01/2025,KH0025,huế,Văn phòng phẩm,32000,2,Chuyển khoản,3
DH00160,11/01/2025,KH0253,Cần Thơ ,Mỹ phẩm,305000,6,Tiền mặt,4
DH00161,12/01/2025,KH0233,Cần Thơ,Thực phẩm,133000,1,Chuyển khoản,4
DH00162,12/01/2025,,Huế,Thực phẩm,61000,2,Ví điện tử,1
DH00163,12/01/2025,KH0251,Đà Nẵng,Thực phẩm,47000,5,Tiền mặt,5
DH00164,12/01/2025,KH0285,Hồ Chí Minh,Văn phòng phẩm,11000,3,Ví điện tử,4
DH00165,12/01/2025,KH0417,HÀ NỘI,Văn phòng phẩm,15000,4,Ví điện tử,
DH00166,12/01/2025,KH0006,Hà Nội,Văn phòng phẩm,32000,2,Ví điện tử,3
DH00167,12/01/2025,KH0272,Hà Nội,Mỹ phẩm,341000,2,Chuyển khoản,4
DH00168,12/01/2025,KH0047,Hồ Chí Minh,Đồ uống,31000,2,Chuyển khoản,3
DH00169,12/01/2025,KH0258,Hà Nội,Đồ uống,39000,9,Chuyển khoản,2
DH00170,12/01/2025,KH0218,Hồ Chí Minh ,Thực phẩm,57000,4,Ví điện tử,
DH00171,12/01/2025,,Hồ Chí Minh,Thực phẩm,148000,1,Chuyển khoản,3
DH00172,12/01/2025,KH0164,Hà Nội,Mỹ phẩm,273000,1,Chuyển khoản,2
DH00173,12/01/2025,KH0434,Đà Nẵng,Mỹ phẩm,237000,2,Chuyển khoản,4
DH00174,12/01/2025,KH0097,Đà Nẵng,Đồ uống,15000,5,Ví điện tử,5
DH00175,13/01/2025,KH0224,Hà Nội,Thực phẩm,63000,6,Ví điện tử,4
DH00176,13/01/2025,,Hà Nội,Thực phẩm,68000,3,Tiền mặt,4
DH00177,13/01/2025,KH0400,Hà Nội,Mỹ phẩm,267000,4,Chuyển khoản,
DH00178,13/01/2025,KH0363,đà nẵng,Gia dụng,377000,2,Tiền mặt,1
DH00179,13/01/2025,,Hồ Chí Minh,Thực phẩm,30000,3,Ví điện tử,2
DH00180,13/01/2025,KH0353,Cần Thơ,Thực phẩm,80000,5,Tiền mặt,
DH00181,13/01/2025,KH0421,Hồ Chí Minh,Thực phẩm,62000,1,Chuyển khoản,
DH00182,13/01/2025,KH0421,Hồ Chí Minh,Thực phẩm,72000,4,Ví điện tử,4
DH00183,13/01/2025,KH0301,Huế,Thực phẩm,39000,1,Tiền mặt,5
DH00184,13/01/2025,KH0215,Hà Nội,Đồ uống,24000,2,Ví điện tử,3
DH00185,13/01/2025,KH0193,Hồ Chí Minh,Thực phẩm,93000,4,Ví điện tử,1
DH00186,13/01/2025,KH0249,Cần Thơ,Gia dụng,149000,2,Chuyển khoản,3
DH00187,13/01/2025,KH0451,Hà Nội,Văn phòng phẩm,46000,3,Ví điện tử,4
DH00188,13/01/2025,KH0469,Cần Thơ,Đồ uống,27000,4,Ví điện tử,3
DH00189,14/01/2025,,Đà Nẵng,Thực phẩm,65000,3,Chuyển khoản,5
DH00189,14/01/2025,,Đà Nẵng,Thực phẩm,65000,3,Chuyển khoản,5
DH00190,14/01/2025,KH0448,Hà Nội,Đồ uống,18000,3,Ví điện tử,
DH00191,14/01/2025,,HUẾ,Thực phẩm,63000,3,Tiền mặt,5
DH00192,14/01/2025,,Đà Nẵng,Văn phòng phẩm,15000,4,Chuyển khoản,5
DH00193,14/01/2025,KH0403,CẦN THƠ,Thực phẩm,121000,2,Ví điện tử,4
DH00194,14/01/2025,KH0479,Hồ Chí Minh,Thực phẩm,87000,4,Ví điện tử,4
DH00195,14/01/2025,KH0011,Hồ Chí Minh,Thực phẩm,68000,6,Tiền mặt,4
DH00196,14/01/2025,KH0287,Hồ Chí Minh ,Đồ uống,36000,,Ví điện tử,4
DH00197,14/01/2025,KH0236,  Hà Nội,Gia dụng,487000,2,Chuyển khoản,4
DH00198,14/01/2025,KH0006,Huế,Đồ uống,22000,3,Chuyển khoản,5
DH00199,14/01/2025,KH0428,Hồ Chí Minh,Gia dụng,241000,6,Chuyển khoản,3
DH00200,14/01/2025,KH0120,Huế,Thực phẩm,105000,,Tiền mặt,5
DH00201,14/01/2025,KH0083,Đà Nẵng,Gia dụng,88000,,Tiền mặt,2
DH00202,14/01/2025,KH0489,Đà Nẵng,Văn phòng phẩm,15000,3,Tiền mặt,4
DH00203,14/01/2025,KH0452, cần thơ  ,Đồ uống,29000,6,Tiền mặt,3
DH00204,15/01/2025,KH0431,Đà Nẵng,Thực phẩm,114000,4,Tiền mặt,3
DH00204,15/01/2025,KH0431,Đà Nẵng,Thực phẩm,114000,4,Tiền mặt,3
DH00205,15/01/2025,KH0118,Hồ Chí Minh,Đồ uống,43000,6,Tiền mặt,4
DH00206,15/01/2025,KH0413,Hồ Chí Minh,Gia dụng,584000,5,Chuyển khoản,2
DH00207,15/01/2025,KH0082,Huế,Mỹ phẩm,388000,4,Tiền mặt,4
DH00208,15/01/2025,KH0034,Huế,Thực phẩm,71000,8,Tiền mặt,4
DH00209,15/01/2025,KH0047,Hồ Chí Minh,Văn phòng phẩm,7000,2,Tiền mặt,5
DH00210,15/01/2025,KH0404,Hồ Chí Minh,Thực phẩm,29000,1,Ví điện tử,4
DH00211,15/01/2025,KH0200,Hà Nội,Đồ uống,27000,3,Chuyển khoản,1
DH00212,15/01/2025,KH0459,Đà Nẵng,Đồ uống,43000,4,Tiền mặt,3
DH00213,15/01/2025,KH0053,ĐÀ NẴNG,Đồ uống,26000,2,Chuyển khoản,5
DH00214,15/01/2025,KH0154,Hồ Chí Minh,Mỹ phẩm,212000,8,Chuyển khoản,
DH00215,16/01/2025,KH0097,Hồ Chí Minh,Thực phẩm,57000,7,Ví điện tử,3
DH00216,16/01/2025,KH0395,Hồ Chí Minh,Thực phẩm,46000,6,Chuyển khoản,
DH00217,16/01/2025,KH0013,Cần Thơ,Thực phẩm,28000,5,Chuyển khoản,5
DH00218,16/01/2025,KH0132,Hồ Chí Minh,Gia dụng,135000,6,Ví điện tử,5
DH00219,16/01/2025,KH0494,Đà Nẵng,Thực phẩm,111000,4,Ví điện tử,4
DH00220,16/01/2025,KH0172,Cần Thơ ,Thực phẩm,140000,,Tiền mặt,3
DH00221,16/01/2025,KH0402,Hồ Chí Minh,Văn phòng phẩm,11000,5,Tiền mặt,
DH00222,16/01/2025,KH0438,Cần Thơ,Gia dụng,421000,2,Chuyển khoản,4
DH00223,16/01/2025,KH0059,hồ chí minh,Mỹ phẩm,200000,3,Ví điện tử,3
DH00224,16/01/2025,KH0101,Đà Nẵng,Đồ uống,24000,3,Tiền mặt,4
DH00225,16/01/2025,KH0120,Hà Nội,Đồ uống,27000,4,Ví điện tử,3
DH00226,16/01/2025,KH0360,Hà Nội ,Văn phòng phẩm,37000,3,Chuyển khoản,5
DH00227,16/01/2025,KH0152,Cần Thơ,Thực phẩm,143000,3,Ví điện tử,1
DH00228,17/01/2025,,Hà Nội,Mỹ phẩm,134000,2,Tiền mặt,4
DH00229,17/01/2025,KH0355,hà nội,Văn phòng phẩm,24000,6,Tiền mặt,
DH00230,17/01/2025,,Hồ Chí Minh,Thực phẩm,43000,2,Ví điện tử,4
DH00231,17/01/2025,KH0376,Hà Nội,Thực phẩm,60000,3,Tiền mặt,
DH00232,17/01/2025,KH0438,Hồ Chí Minh,Mỹ phẩm,197000,2,Tiền mặt,4
DH00233,17/01/2025,KH0219,Huế,Gia dụng,100000,6,Tiền mặt,5
DH00234,17/01/2025,KH0218,Huế,Mỹ phẩm,362000,3,Tiền mặt,2
DH00235,17/01/2025,KH0289,Hồ Chí Minh,Gia dụng,449000,1,Chuyển khoản,
DH00236,17/01/2025,KH0053,Cần Thơ,Thực phẩm,31000,5,Ví điện tử,4
DH00237,17/01/2025,KH0349,Cần Thơ,Đồ uống,28000,4,Ví điện tử,2
DH00238,17/01/2025,KH0344,Hà Nội,Thực phẩm,111000,4,Ví điện tử,5
DH00239,17/01/2025,KH0085,hồ chí minh,Đồ uống,42000,4,Chuyển khoản,
DH00240,17/01/2025,KH0414,Hà Nội,Thực phẩm,56000,3,Ví điện tử,5
DH00241,18/01/2025,,Đà Nẵng,Gia dụng,551000,2,Tiền mặt,4
DH00242,18/01/2025,KH0036,Hà Nội,Mỹ phẩm,140000,3,Chuyển khoản,3
DH00243,18/01/2025,,hồ chí minh,Thực phẩm,86000,1,Ví điện tử,5
DH00244,18/01/2025,KH0089,Đà Nẵng,Gia dụng,470000,3,Ví điện tử,5
DH00245,18/01/2025,KH0372,Hà Nội,Văn phòng phẩm,32000,4,Ví điện tử,
DH00246,18/01/2025,,Hồ Chí Minh,Đồ uống,31000,3,Ví điện tử,3
DH00247,18/01/2025,KH0376,Hà Nội,Đồ uống,30000,2,Chuyển khoản,3
DH00248,18/01/2025,KH0402,Hồ Chí Minh,Thực phẩm,70000,1,Chuyển khoản,1
DH00249,18/01/2025,, hồ chí minh  ,Đồ uống,12000,2,Tiền mặt,
DH00250,18/01/2025,KH0247,Cần Thơ,Gia dụng,357000,3,Chuyển khoản,5
DH00251,18/01/2025,KH0265,Hà Nội,Mỹ phẩm,417000,1,Tiền mặt,
DH00252,18/01/2025,KH0283,Đà Nẵng,Đồ uống,15000,5,Chuyển khoản,4
DH00253,18/01/2025,KH0165,Huế,Thực phẩm,41000,4,Tiền mặt,4
DH00254,18/01/2025,KH0273,Hồ Chí Minh,Văn phòng phẩm,5000,,Chuyển khoản,2
DH00255,18/01/2025,KH0080,Đà Nẵng,Văn phòng phẩm,40000,3,Tiền mặt,4
DH00256,18/01/2025,KH0356,Huế,Thực phẩm,116000,2,Chuyển khoản,3
DH00257,18/01/2025,KH0112,Cần Thơ,Đồ uống,43000,4,Tiền mặt,4
DH00258,18/01/2025,KH0163,Đà Nẵng,Gia dụng,519000,2,Ví điện tử,3
DH00259,19/01/2025,KH0045,Cần Thơ,Thực phẩm,113000,4,Tiền mặt,5
DH00260,19/01/2025,,Hồ Chí Minh,Văn phòng phẩm,38000,3,Ví điện tử,3
DH00261,19/01/2025,KH0029,Cần Thơ,Đồ uống,18000,4,Tiền mặt,5
DH00262,19/01/2025,KH0160,hồ chí minh,Mỹ phẩm,277000,8,Chuyển khoản,4
DH00263,19/01/2025,KH0050,Hà Nội,Văn phòng phẩm,18000,5,Tiền mặt,5
DH00264,19/01/2025,KH0265,Hồ Chí Minh,Đồ uống,33000,5,Tiền mặt,3
DH00265,19/01/2025,KH0341,Cần Thơ,Thực phẩm,65000,2,Chuyển khoản,5
DH00266,19/01/2025,KH0483,Đà Nẵng,Mỹ phẩm,266000,1,Ví điện tử,
DH00267,19/01/2025,KH0376,Hà Nội,Mỹ phẩm,281000,4,Ví điện tử,4
DH00268,19/01/2025,KH0021,đà nẵng,Văn phòng phẩm,5000,4,Tiền mặt,1
DH00269,19/01/2025,KH0176,Huế,Văn phòng phẩm,43000,2,Chuyển khoản,5
DH00270,19/01/2025,KH0116,Cần Thơ,Thực phẩm,82000,10,Ví điện tử,2
DH00271,19/01/2025,KH0312,Huế,Thực phẩm,34000,4,Chuyển khoản,
DH00272,19/01/2025,KH0415,Đà Nẵng,Đồ uống,30000,6,Ví điện tử,1
DH00273,19/01/2025,KH0449,Hồ Chí Minh,Mỹ phẩm,311000,3,Tiền mặt,3
DH00274,19/01/2025,,Hồ Chí Minh,Đồ uống,41000,2,Ví điện tử,1
DH00275,19/01/2025,KH0227,Đà Nẵng,Đồ uống,38000,3,Tiền mặt,3
DH00276,19/01/2025,KH0192,  Hà Nội,Đồ uống,29000,4,Chuyển khoản,
DH00277,19/01/2025,KH0405,Hồ Chí Minh,Gia dụng,248000,2,Ví điện tử,3
DH00278,20/01/2025,KH0535,Huế,Đồ uống,22000,2,Ví điện tử,3
DH00279,20/01/2025,KH0390, hà nội  ,Thực phẩm,67000,3,Chuyển khoản,
DH00280,20/01/2025,KH0417,Huế,Thực phẩm,51000,3,Tiền mặt,3
DH00281,20/01/2025,KH0466,Hồ Chí Minh ,Văn phòng phẩm,56000,5,Chuyển khoản,4
