# NHAT KY GIAO HANG - THANG 06/2025
# Dinh dang: YYYY-MM-DD HH:MM | DHxxxxx | TRANG_THAI | shipper=SPxx
# TRANG_THAI: GIAO_THANH_CONG, THAT_BAI, HOAN_TRA
2025-06-02 10:16 | DH00742 | GIAO_THANH_CONG | shipper=SP09
2025-06-02 11:46 | DH01135 | THAT_BAI | shipper=SP04
2025-06-02 11:58 | DH01580 | GIAO_THANH_CONG | shipper=SP06
2025-06-02 12:31 | DH01330 | GIAO_THANH_CONG | shipper=SP09
2025-06-02 13:00 | DH01226 | GIAO_THANH_CONG | shipper=SP03
2025-06-02 13:31 | DH00344 | GIAO_THANH_CONG | shipper=SP02
2025-06-02 13:40 | DH01311 | THAT_BAI | shipper=SP05
2025-06-02 13:44 | DH02373 | GIAO_THANH_CONG | shipper=SP07
2025-06-02 13:53 | DH01536 | GIAO_THANH_CONG | shipper=SP08
2025-06-17 12:16 | DH01570 | DANG_GIAO | shipper=SP04
2025-06-02 13:53 | DH00735 | GIAO_THANH_CONG | shipper=SP10
2025-06-02 14:31 | DH01763 | GIAO_THANH_CONG | shipper=SP03
2025-06-02 16:37 | DH00304 | GIAO_THANH_CONG | shipper=SP06
2025-06-02 16:55 | DH02100 | GIAO_THANH_CONG | shipper=SP06
2025-06-02 16:59 | DH00689 | GIAO_THANH_CONG | shipper=SP01
2025-06-02 17:02 | DH02118 | GIAO_THANH_CONG | shipper=SP10
2025-06-02 17:20 | DH00632 | GIAO_THANH_CONG | shipper=SP01
2025-06-02 17:34 | DH00179 | GIAO_THANH_CONG | shipper=SP05
2025-06-15 10:35 | DH0006 | THAT_BAI | shipper=SP04

2025-06-02 18:19 | DH02040 | GIAO_THANH_CONG | shipper=SP05
2025-06-02 19:33 | DH00844 | GIAO_THANH_CONG | shipper=SP03
2025-06-02 19:37 | DH00488 | GIAO_THANH_CONG | shipper=SP05
2025-06-02 20:46 | DH01845 | GIAO_THANH_CONG | shipper=SP06
2025-06-02 20:51 | DH00789 | HOAN_TRA | shipper=SP09
2025-06-02 20:52 | DH00675 | GIAO_THANH_CONG | shipper=SP06
2025-06-02 20:54 | DH01525 | GIAO_THANH_CONG | shipper=SP05
2025-06-03 07:06 | DH01659 | GIAO_THANH_CONG | shipper=SP04
2025-06-23 18:50 | DH00739 | DANG_GIAO | shipper=SP05
2025-06-03 07:40 | DH01465 | THAT_BAI | shipper=SP07
2025-06-03 07:40 | DH01451 | THAT_BAI | shipper=SP04
2025-06-03 07:46 | DH01681 | GIAO_THANH_CONG | shipper=SP09
2025-06-03 07:57 | DH00632 | GIAO_THANH_CONG | shipper=SP09
2025-06-03 10:33 | DH00971 | GIAO_THANH_CONG | shipper=SP08
2025-06-03 11:27 | DH01676 | GIAO_THANH_CONG | shipper=SP01
2025-06-03 11:48 | DH00116 | THAT_BAI | shipper=SP01
2025-06-03 12:05 | DH00726 | HOAN_TRA | shipper=SP03

2025-06-03 12:54 | DH02271 | THAT_BAI | shipper=SP07
2025-06-03 13:16 | DH00925 | GIAO_THANH_CONG | shipper=SP06
2025-06-03 13:23 | DH00979 | GIAO_THANH_CONG | shipper=SP06
2025-06-03 13:25 | DH01637 | GIAO_THANH_CONG | shipper=SP05
2025-06-03 13:52 | DH00802 | GIAO_THANH_CONG | shipper=SP05
2025-06-03 13:57 | DH01529 | GIAO_THANH_CONG | shipper=SP09
2025-06-03 14:18 | DH02037 | GIAO_THANH_CONG | shipper=SP05
2025-06-03 14:24 | DH00339 | GIAO_THANH_CONG | shipper=SP05
2025-06-03 14:50 | DH02049 | THAT_BAI | shipper=SP01
2025-06-03 15:56 | DH00949 | GIAO_THANH_CONG | shipper=SP04
2025-06-03 16:26 | DH00834 | GIAO_THANH_CONG | shipper=SP10
2025-06-03 16:48 | DH01843 | GIAO_THANH_CONG | shipper=SP04
2025-06-03 17:14 | DH00841 | GIAO_THANH_CONG | shipper=SP10
2025-06-03 17:23 | DH01959 | GIAO_THANH_CONG | shipper=SP08

2025-06-03 17:35 | DH00187 | GIAO_THANH_CONG | shipper=SP06
2025-06-03 17:55 | DH01182 | GIAO_THANH_CONG | shipper=SP10
2025-06-03 17:57 | DH01030 | HOAN_TRA | shipper=SP08
2025-06-03 18:14 | DH02366 | HOAN_TRA | shipper=SP10
2025-06-03 19:39 | DH02364 | GIAO_THANH_CONG | shipper=SP10
2025-06-03 20:25 | DH01515 | GIAO_THANH_CONG | shipper=SP04
2025-06-03 20:51 | DH02135 | GIAO_THANH_CONG | shipper=SP04
2025-06-04 07:05 | DH00078 | HOAN_TRA | shipper=SP07
2025-06-04 07:22 | DH02176 | GIAO_THANH_CONG | shipper=SP10
2025-06-04 07:38 | DH02171 | GIAO_THANH_CONG | shipper=SP02
2025-06-04 07:45 | DH01268 | GIAO_THANH_CONG | shipper=SP07

2025-06-04 08:00 | DH00649 | THAT_BAI | shipper=SP10
2025-06-04 08:09 | DH00930 | GIAO_THANH_CONG | shipper=SP11
2025-06-04 08:10 | DH01797 | GIAO_THANH_CONG | shipper=SP01
2025-06-04 08:29 | DH00578 | GIAO_THANH_CONG | shipper=SP10
2025-06-04 08:57 | DH01917 | THAT_BAI | shipper=SP05
2025-06-04 09:01 | DH01881 | GIAO_THANH_CONG | shipper=SP10
2025-06-04 09:18 | DH02288 | GIAO_THANH_CONG | shipper=SP05
2025-06-04 09:26 | DH01516 | GIAO_THANH_CONG | shipper=SP09
2025-06-04 09:37 | DH02331 | GIAO_THANH_CONG | shipper=SP01
2025-06-04 10:57 | DH02111 | GIAO_THANH_CONG | shipper=SP09
2025-06-04 11:12 | DH02020 | GIAO_THANH_CONG | shipper=SP09
2025-06-04 12:45 | DH02268 | GIAO_THANH_CONG | shipper=SP06
2025-06-04 14:20 | DH01847 | GIAO_THANH_CONG | shipper=SP05
2025-06-04 14:38 | DH01172 | GIAO_THANH_CONG | shipper=SP01
2025-06-04 14:59 | DH01934 | HOAN_TRA | shipper=SP01
2025-06-04 15:32 | DH00757 | GIAO_THANH_CONG | shipper=SP03
2025-06-04 16:10 | DH01874 | GIAO_THANH_CONG | shipper=SP04
2025-06-04 16:45 | DH01911 | GIAO_THANH_CONG | shipper=SP07
2025-06-04 17:03 | DH01644 | GIAO_THANH_CONG | shipper=SP09
2025-06-04 17:48 | DH01233 | GIAO_THANH_CONG | shipper=SP01
2025-06-04 17:49 | DH01948 | GIAO_THANH_CONG | shipper=SP01
2025-06-04 18:44 | DH02332 | GIAO_THANH_CONG | shipper=SP03
2025-06-04 19:11 | DH01032 | GIAO_THANH_CONG | shipper=SP09
2025-06-04 20:30 | DH01832 | GIAO_THANH_CONG | shipper=SP03
2025-06-04 20:34 | DH01802 | GIAO_THANH_CONG | shipper=SP06
2025-06-04 20:46 | DH00384 | GIAO_THANH_CONG | shipper=SP10
2025-06-05 07:10 | DH01360 | GIAO_THANH_CONG | shipper=SP03
2025-06-05 07:26 | DH00571 | THAT_BAI | shipper=SP10
2025-06-05 07:51 | DH02109 | GIAO_THANH_CONG | shipper=SP06
2025-06-05 08:35 | DH00953 | GIAO_THANH_CONG | shipper=SP06
2025-06-05 08:37 | DH00858 | GIAO_THANH_CONG | shipper=SP05
2025-06-05 08:46 | DH00229 | GIAO_THANH_CONG | shipper=SP05
2025-06-05 08:49 | DH01069 | GIAO_THANH_CONG | shipper=SP04
2025-06-05 09:21 | DH00828 | GIAO_THANH_CONG | shipper=SP04
2025-06-05 09:26 | DH00446 | GIAO_THANH_CONG | shipper=SP03
2025-06-09 11:35 | DH02025 | DANG_GIAO | shipper=SP05
2025-06-05 09:56 | DH00321 | GIAO_THANH_CONG | shipper=SP01
2025-06-05 10:34 | DH00078 | GIAO_THANH_CONG | shipper=SP10
2025-06-05 10:40 | DH00924 | GIAO_THANH_CONG | shipper=SP09
2025-06-05 11:35 | DH01981 | GIAO_THANH_CONG | shipper=SP09
2025-06-05 12:34 | DH00086 | GIAO_THANH_CONG | shipper=SP07
2025-06-05 13:20 | DH01047 | GIAO_THANH_CONG | shipper=SP05
2025-06-21 09:41 | DH00595 | THAT_BAI | shipper=SP3
2025-06-05 13:49 | DH00768 | THAT_BAI | shipper=SP06
2025-06-05 13:54 | DH00268 | GIAO_THANH_CONG | shipper=SP05
2025-06-13 20:23|DH01796|THAT_BAI|shipper=SP05
2025-06-05 14:02 | DH01798 | GIAO_THANH_CONG | shipper=SP04
2025-06-05 14:08 | DH00782 | GIAO_THANH_CONG | shipper=SP09
2025-06-05 14:08 | DH01580 | GIAO_THANH_CONG | shipper=SP07
2025-06-05 14:20 | DH00652 | GIAO_THANH_CONG | shipper=SP05
2025-06-18 11:12 | DH01404 | GIAO_THANH_CONG | shipper:SP03
2025-06-05 14:20 | DH01208 | GIAO_THANH_CONG | shipper=SP08
2025-06-05 14:38 | DH01378 | GIAO_THANH_CONG | shipper=SP08
2025-06-05 14:40 | DH01700 | HOAN_TRA | shipper=SP02
2025-06-05 14:47 | DH01569 | GIAO_THANH_CONG | shipper=SP01
2025-06-05 14:48 | DH02180 | GIAO_THANH_CONG | shipper=SP10
2025-06-05 15:44 | DH00266 | GIAO_THANH_CONG | shipper=SP10
2025-06-05 16:24 | DH00230 | GIAO_THANH_CONG | shipper=SP01
2025-06-05 16:34 | DH00186 | GIAO_THANH_CONG | shipper=SP02
2025-06-05 16:44 | DH00700 | HOAN_TRA | shipper=SP03
2025-06-05 16:49 | DH01041 | GIAO_THANH_CONG | shipper=SP06
2025-06-05 18:00 | DH00534 | GIAO_THANH_CONG | shipper=SP07
2025-06-05 18:26 | DH01818 | GIAO_THANH_CONG | shipper=SP01
2025-06-05 18:49 | DH01585 | GIAO_THANH_CONG | shipper=SP07
2025-06-05 19:13 | DH01527 | THAT_BAI | shipper=SP11
2025-06-05 19:16 | DH00650 | GIAO_THANH_CONG | shipper=SP07
2025-06-05 19:41 | DH02348 | GIAO_THANH_CONG | shipper=SP04
2025-06-05 19:51 | DH00656 | GIAO_THANH_CONG | shipper=SP04
2025-06-05 19:57 | DH01020 | GIAO_THANH_CONG | shipper=SP01
2025-06-05 20:38 | DH02027 | GIAO_THANH_CONG | shipper=SP07
2025-06-27 12:43 | DH01946 | that_bai | shipper=SP09
2025-06-05 20:45 | DH00799 | GIAO_THANH_CONG | shipper=SP08
2025-06-05 20:53 | DH00573 | THAT_BAI | shipper=SP03
2025-06-06 07:21 | DH00217 | GIAO_THANH_CONG | shipper=SP10
2025-06-06 07:25 | DH00021 | GIAO_THANH_CONG | shipper=SP01
2025-06-06 09:45 | DH01303 | GIAO_THANH_CONG | shipper=SP04
2025-06-06 10:09 | DH00238 | GIAO_THANH_CONG | shipper=SP06
2025-06-06 10:43 | DH02383 | GIAO_THANH_CONG | shipper=SP08
2025-06-06 10:43 | DH00420 | GIAO_THANH_CONG | shipper=SP04
2025-06-06 11:05 | DH02260 | GIAO_THANH_CONG | shipper=SP09
2025-06-06 11:06 | DH00819 | GIAO_THANH_CONG | shipper=SP03
2025-06-06 11:19 | DH00740 | GIAO_THANH_CONG | shipper=SP10
2025-06-06 11:25 | DH00633 | GIAO_THANH_CONG | shipper=SP08
2025-06-06 12:05 | DH02022 | GIAO_THANH_CONG | shipper=SP10
2025-06-06 12:51 | DH00704 | GIAO_THANH_CONG | shipper=SP07
2025-06-06 13:07 | DH00603 | GIAO_THANH_CONG | shipper=SP10
2025-06-04 12:19 | DH0905 | THAT_BAI | shipper=SP03
2025-06-06 14:29 | DH02252 | GIAO_THANH_CONG | shipper=SP01
2025-06-06 15:07 | DH00191 | THAT_BAI | shipper=SP06
2025-06-06 15:22 | DH02357 | GIAO_THANH_CONG | shipper=SP02
2025-06-06 16:18 | DH00091 | GIAO_THANH_CONG | shipper=SP10
2025-06-06 16:23 | DH02046 | GIAO_THANH_CONG | shipper=SP02
2025-06-06 16:36 | DH00685 | GIAO_THANH_CONG | shipper=SP10
2025-06-06 17:06 | DH02107 | THAT_BAI | shipper=SP08
2025-06-06 17:23 | DH02052 | GIAO_THANH_CONG | shipper=SP04
2025-06-06 17:51 | DH00733 | GIAO_THANH_CONG | shipper=SP02
2025-06-06 18:26 | DH00149 | THAT_BAI | shipper=SP04
2025-06-06 18:54 | DH00348 | GIAO_THANH_CONG | shipper=SP03
2025-06-06 19:21 | DH02142 | GIAO_THANH_CONG | shipper=SP09
2025-06-06 19:35 | DH00528 | GIAO_THANH_CONG | shipper=SP04
2025-06-06 19:49 | DH01783 | GIAO_THANH_CONG | shipper=SP06
2025-06-06 20:44 | DH00907 | GIAO_THANH_CONG | shipper=SP07
2025-06-06 20:46 | DH00075 | GIAO_THANH_CONG | shipper=SP03
2025-06-07 07:06 | DH00495 | GIAO_THANH_CONG | shipper=SP10
2025-06-07 07:23 | DH02125 | GIAO_THANH_CONG | shipper=SP04
2025-06-07 08:03 | DH00257 | GIAO_THANH_CONG | shipper=SP03
2025-06-07 09:05 | DH01012 | GIAO_THANH_CONG | shipper=SP10
2025-06-07 10:27 | DH01763 | HOAN_TRA | shipper=SP07
2025-06-07 10:50 | DH00864 | GIAO_THANH_CONG | shipper=SP02
2025-06-07 12:21 | DH00440 | GIAO_THANH_CONG | shipper=SP05
2025-06-07 12:38 | DH01188 | GIAO_THANH_CONG | shipper=SP06
2025-06-07 12:49 | DH00086 | GIAO_THANH_CONG | shipper=SP02
2025-06-07 13:44 | DH02000 | GIAO_THANH_CONG | shipper=SP04
2025-06-27 20:26 | DH01807 | GIAO_THANH_CONG
2025-06-07 14:39 | DH01346 | GIAO_THANH_CONG | shipper=SP09
2025-06-07 14:44 | DH01454 | GIAO_THANH_CONG | shipper=SP05
2025-06-29 19:37 | DH2360 | GIAO_THANH_CONG | shipper=SP04
2025-06-07 14:45 | DH00079 | GIAO_THANH_CONG | shipper=SP09
2025-06-07 14:47 | DH00520 | GIAO_THANH_CONG | shipper=SP09
2025-06-07 15:15 | DH01882 | GIAO_THANH_CONG | shipper=SP02
2025-06-07 15:22 | DH00247 | GIAO_THANH_CONG | shipper=SP07
2025-06-07 17:21 | DH02004 | GIAO_THANH_CONG | shipper=SP06
2025-06-07 17:43 | DH00282 | GIAO_THANH_CONG | shipper=SP10
2025-06-07 17:51 | DH00047 | GIAO_THANH_CONG | shipper=SP02
2025-06-07 17:52 | DH01113 | GIAO_THANH_CONG | shipper=SP10
2025-06-07 18:28 | DH01879 | GIAO_THANH_CONG | shipper=SP01
2025-06-07 18:57 | DH01373 | GIAO_THANH_CONG | shipper=SP10
2025-06-07 19:04 | DH01053 | GIAO_THANH_CONG | shipper=SP01
2025-06-06 07:19 | DH01249 | GIAO_THANH_CONG
2025-06-07 19:33 | DH01334 | GIAO_THANH_CONG | shipper=SP06
2025-06-07 19:35 | DH00532 | GIAO_THANH_CONG | shipper=SP10
2025-06-07 19:55 | DH01220 | GIAO_THANH_CONG | shipper=SP10
2025-06-07 20:09 | DH00905 | GIAO_THANH_CONG | shipper=SP05
2025-06-07 20:53 | DH00072 | GIAO_THANH_CONG | shipper=SP06
2025-06-07 20:58 | DH01764 | HOAN_TRA | shipper=SP07
2025-06-08 07:00 | DH02058 | GIAO_THANH_CONG | shipper=SP01

2025-06-08 08:13 | DH00641 | GIAO_THANH_CONG | shipper=SP04
2025-06-08 08:19 | DH01089 | GIAO_THANH_CONG | shipper=SP04
2025-06-08 08:21 | DH00993 | GIAO_THANH_CONG | shipper=SP03
2025-06-08 08:38 | DH00484 | GIAO_THANH_CONG | shipper=SP01
2025-06-08 09:02 | DH00842 | GIAO_THANH_CONG | shipper=SP01
2025-06-08 09:38 | DH01290 | GIAO_THANH_CONG | shipper=SP02
2025-06-08 09:51 | DH01435 | THAT_BAI | shipper=SP05
2025-06-08 10:02 | DH00611 | HOAN_TRA | shipper=SP07
2025-06-08 10:08 | DH01718 | GIAO_THANH_CONG | shipper=SP07
2025-06-08 10:38 | DH01891 | GIAO_THANH_CONG | shipper=SP02
2025-06-26 14:25 | DH02206 | that_bai | shipper=SP09
2025-06-08 11:14 | DH01831 | GIAO_THANH_CONG | shipper=SP04
2025-06-08 11:18 | DH01494 | GIAO_THANH_CONG | shipper=SP08
2025-06-08 11:52 | DH02216 | GIAO_THANH_CONG | shipper=SP01
2025-06-08 12:10 | DH00288 | GIAO_THANH_CONG | shipper=SP08
2025-06-08 12:23 | DH01525 | HOAN_TRA | shipper=SP06
2025-06-08 12:49 | DH01422 | GIAO_THANH_CONG | shipper=SP05
2025-06-08 13:38 | DH01834 | GIAO_THANH_CONG | shipper=SP06
2025-06-08 13:38 | DH02375 | GIAO_THANH_CONG | shipper=SP05
2025-06-08 14:53 | DH02321 | GIAO_THANH_CONG | shipper=SP01
2025-06-27 15:57|DH00656|THAT_BAI|shipper=SP07
2025-06-08 14:59 | DH00466 | GIAO_THANH_CONG | shipper=SP01
2025-06-08 16:28 | DH01930 | GIAO_THANH_CONG | shipper=SP03
2025-06-08 16:35 | DH00731 | GIAO_THANH_CONG | shipper=SP09
2025-06-08 17:10 | DH00909 | GIAO_THANH_CONG | shipper=SP06
2025-06-08 17:32 | DH00503 | GIAO_THANH_CONG | shipper=SP02
2025-06-08 18:21 | DH00326 | GIAO_THANH_CONG | shipper=SP01
2025-06-08 19:17 | DH01387 | GIAO_THANH_CONG | shipper=SP02
2025-06-08 19:23 | DH00400 | THAT_BAI | shipper=SP02
2025-06-27 18:55 | DH02339 | that_bai | shipper=SP06
2025-06-08 20:26 | DH01094 | GIAO_THANH_CONG | shipper=SP03
2025-06-23 13:37|DH01638|GIAO_THANH_CONG|shipper=SP03
2025-06-09 07:08 | DH00438 | GIAO_THANH_CONG | shipper=SP04
2025-06-09 07:16 | DH02086 | GIAO_THANH_CONG | shipper=SP07
2025-06-09 07:31 | DH00566 | GIAO_THANH_CONG | shipper=SP09
2025-06-09 07:35 | DH00604 | GIAO_THANH_CONG | shipper=SP09
2025-06-09 08:42 | DH01419 | GIAO_THANH_CONG | shipper=SP06
2025-06-09 09:54 | DH00956 | GIAO_THANH_CONG | shipper=SP07
2025-06-09 10:23 | DH01455 | GIAO_THANH_CONG | shipper=SP04
2025-06-09 10:48 | DH01331 | GIAO_THANH_CONG | shipper=SP07
2025-06-09 10:57 | DH00464 | THAT_BAI | shipper=SP01
2025-06-09 11:04 | DH01252 | GIAO_THANH_CONG | shipper=SP09
2025-06-09 11:26 | DH01123 | GIAO_THANH_CONG | shipper=SP09
2025-06-09 11:28 | DH01873 | GIAO_THANH_CONG | shipper=SP05
2025-06-09 11:42 | DH01001 | THAT_BAI | shipper=SP04
2025-06-09 11:54 | DH00326 | GIAO_THANH_CONG | shipper=SP09
2025-06-09 12:12 | DH01137 | GIAO_THANH_CONG | shipper=SP08
2025-06-09 12:59 | DH00073 | GIAO_THANH_CONG | shipper=SP02
2025-06-09 13:03 | DH00113 | THAT_BAI | shipper=SP07
2025-06-09 13:34 | DH01183 | GIAO_THANH_CONG | shipper=SP02
2025-06-09 14:09 | DH00668 | GIAO_THANH_CONG | shipper=SP06
2025-06-09 14:24 | DH00060 | GIAO_THANH_CONG | shipper=SP08
2025-06-09 15:09 | DH01741 | GIAO_THANH_CONG | shipper=SP06
2025-06-09 15:15 | DH00669 | GIAO_THANH_CONG | shipper=SP08
2025-06-09 15:40 | DH00228 | GIAO_THANH_CONG | shipper=SP02
2025-06-09 16:22 | DH01320 | GIAO_THANH_CONG | shipper=SP01
2025-06-09 17:07 | DH01886 | THAT_BAI | shipper=SP07
2025-06-09 17:13 | DH02364 | GIAO_THANH_CONG | shipper=SP07
2025-06-09 17:20 | DH01182 | GIAO_THANH_CONG | shipper=SP10
2025-06-09 18:48 | DH00813 | GIAO_THANH_CONG | shipper=SP03
2025-06-09 19:00 | DH01558 | GIAO_THANH_CONG | shipper=SP08
2025-06-09 19:57 | DH02364 | GIAO_THANH_CONG | shipper=SP07
2025-06-09 20:21 | DH02108 | GIAO_THANH_CONG | shipper=SP04
2025-06-09 20:28 | DH00308 | GIAO_THANH_CONG | shipper=SP03
2025-06-09 20:53 | DH01731 | GIAO_THANH_CONG | shipper=SP07
2025-06-09 20:57 | DH01215 | GIAO_THANH_CONG | shipper=SP04
2025-06-10 07:31 | DH01020 | GIAO_THANH_CONG | shipper=SP03
2025-06-10 07:32 | DH00284 | THAT_BAI | shipper=SP04
2025-06-10 07:51 | DH01172 | GIAO_THANH_CONG | shipper=SP09
2025-06-10 08:09 | DH02182 | GIAO_THANH_CONG | shipper=SP01
2025-06-10 08:11 | DH00075 | HOAN_TRA | shipper=SP04
2025-06-10 09:48 | DH01350 | GIAO_THANH_CONG | shipper=SP08
2025-06-07 20:34 | DH01226 | THAT_BAI | shipper:SP09
2025-06-10 09:54 | DH00260 | GIAO_THANH_CONG | shipper=SP09
2025-06-10 11:09 | DH01396 | GIAO_THANH_CONG | shipper=SP02
2025-06-10 11:31 | DH01716 | GIAO_THANH_CONG | shipper=SP08
2025-06-10 11:47 | DH01530 | THAT_BAI | shipper=SP03
2025-06-10 12:05 | DH00231 | GIAO_THANH_CONG | shipper=SP08
2025-06-10 12:07 | DH00934 | GIAO_THANH_CONG | shipper=SP06
2025-06-10 12:07 | DH01787 | GIAO_THANH_CONG | shipper=SP02
2025-06-10 12:50 | DH00372 | HOAN_TRA | shipper=SP07
2025-06-10 13:36 | DH01080 | GIAO_THANH_CONG | shipper=SP01
2025-06-10 13:51 | DH00650 | GIAO_THANH_CONG | shipper=SP08
2025-06-10 14:06 | DH00287 | GIAO_THANH_CONG | shipper=SP05
2025-06-10 15:01 | DH00482 | GIAO_THANH_CONG | shipper=SP05
2025-06-10 16:53 | DH01491 | GIAO_THANH_CONG | shipper=SP09
2025-06-10 16:58 | DH02120 | THAT_BAI | shipper=SP07
2025-06-10 17:03 | DH01691 | GIAO_THANH_CONG | shipper=SP06
2025-06-10 17:37 | DH00323 | GIAO_THANH_CONG | shipper=SP06
2025-06-10 17:54 | DH00991 | GIAO_THANH_CONG | shipper=SP08
2025-06-10 19:43 | DH01495 | GIAO_THANH_CONG | shipper=SP01
2025-06-10 20:06 | DH00018 | GIAO_THANH_CONG | shipper=SP08
2025-06-10 20:19 | DH01356 | GIAO_THANH_CONG | shipper=SP04
2025-06-11 07:01 | DH02170 | GIAO_THANH_CONG | shipper=SP05
2025-06-11 07:18 | DH01360 | GIAO_THANH_CONG | shipper=SP05
2025-06-11 07:36 | DH01580 | GIAO_THANH_CONG | shipper=SP02
2025-06-11 08:13 | DH00038 | GIAO_THANH_CONG | shipper=SP04
2025-06-11 09:31 | DH01739 | GIAO_THANH_CONG | shipper=SP01
2025-06-11 10:48 | DH01505 | GIAO_THANH_CONG | shipper=SP05
2025-06-11 10:50 | DH02302 | GIAO_THANH_CONG | shipper=SP06
2025-06-11 11:11 | DH00432 | GIAO_THANH_CONG | shipper=SP09
2025-06-11 11:14 | DH00464 | GIAO_THANH_CONG | shipper=SP06
2025-06-11 11:27 | DH00570 | GIAO_THANH_CONG | shipper=SP07
2025-06-11 12:08 | DH00690 | GIAO_THANH_CONG | shipper=SP01
2025-06-11 12:31 | DH01486 | GIAO_THANH_CONG | shipper=SP02
2025-06-11 12:50 | DH01196 | GIAO_THANH_CONG | shipper=SP09
2025-06-11 13:03 | DH02176 | GIAO_THANH_CONG | shipper=SP04
2025-06-11 13:04 | DH00138 | GIAO_THANH_CONG | shipper=SP09
2025-06-11 13:13 | DH01821 | GIAO_THANH_CONG | shipper=SP08
2025-06-11 14:40 | DH01259 | GIAO_THANH_CONG | shipper=SP09
2025-06-11 14:44 | DH00333 | GIAO_THANH_CONG | shipper=SP09
2025-06-11 14:45 | DH00144 | GIAO_THANH_CONG | shipper=SP05
2025-06-11 14:46 | DH00729 | GIAO_THANH_CONG | shipper=SP05
2025-06-11 14:48 | DH00530 | GIAO_THANH_CONG | shipper=SP11
2025-06-11 15:14 | DH01126 | GIAO_THANH_CONG | shipper=SP02
2025-06-11 15:15 | DH02129 | GIAO_THANH_CONG | shipper=SP10
2025-06-11 15:20 | DH01980 | GIAO_THANH_CONG | shipper=SP04
2025-06-11 15:45 | DH00991 | GIAO_THANH_CONG | shipper=SP05
2025-06-11 16:30 | DH00102 | GIAO_THANH_CONG | shipper=SP10
2025-06-11 17:36 | DH01693 | THAT_BAI | shipper=SP01
2025-06-11 18:48 | DH00745 | GIAO_THANH_CONG | shipper=SP08
2025-06-11 07:49|DH00351|THAT_BAI|shipper=SP09
2025-06-11 18:52 | DH01188 | GIAO_THANH_CONG | shipper=SP08
2025-06-11 20:30 | DH01148 | GIAO_THANH_CONG | shipper=SP10
